Vg	Ids
-1.998590000000000089e+01	2.252597999999999959e-08
-1.900043000000000148e+01	1.528700999999999972e-08
-1.799971999999999994e+01	1.303480999999999958e-08
-1.700056999999999974e+01	1.186707000000000046e-08
-1.600027000000000044e+01	1.093359000000000050e-08
-1.500087000000000081e+01	1.003953999999999985e-08
-1.400023999999999980e+01	9.077104999999999541e-09
-1.300111000000000061e+01	8.245151000000000534e-09
-1.200028999999999968e+01	7.286012999999999870e-09
-1.100089000000000006e+01	6.472979000000000215e-09
-1.000093000000000032e+01	5.709750000000000058e-09
-9.001103999999999772e+00	4.938473000000000344e-09
-8.001087000000000060e+00	4.326561000000000317e-09
-7.000391999999999726e+00	3.718851000000000148e-09
-6.001045000000000407e+00	3.221823999999999978e-09
-5.000217000000000134e+00	2.758904000000000092e-09
-4.000746000000000357e+00	2.366279999999999815e-09
-3.000217999999999829e+00	1.981755000000000050e-09
-2.000884000000000107e+00	1.688933000000000003e-09
-1.000035000000000007e+00	1.428650999999999930e-09
6.400000000000000524e-04	1.240234999999999905e-09
9.988289999999999669e-01	1.021251000000000075e-09
1.998923000000000005e+00	8.734730000000000090e-10
2.998180000000000067e+00	7.391573000000000279e-10
3.998638999999999832e+00	6.073214999999999898e-10
4.998028999999999833e+00	5.103550000000000435e-10
5.998954999999999593e+00	4.132870000000000019e-10
6.998209000000000124e+00	3.352482999999999806e-10
7.998808999999999614e+00	2.588288999999999849e-10
8.999309999999999476e+00	2.183399000000000124e-10
9.998597000000000179e+00	1.556807999999999956e-10
1.099877000000000038e+01	9.636231999999999889e-11
1.199836999999999954e+01	3.699306000000000191e-11
1.299840999999999980e+01	1.983512999999999931e-11
1.399808999999999948e+01	-2.905715000000000044e-11
1.499877000000000038e+01	-6.620712000000000153e-11
1.599793999999999983e+01	-1.209202999999999996e-10
1.699851999999999919e+01	-1.478970000000000012e-10
1.799761000000000166e+01	-1.593862000000000084e-10
1.899803999999999959e+01	-1.864134000000000038e-10
1.998461999999999961e+01	-1.003411000000000062e-09
1.900056999999999974e+01	4.119205999999999951e-10
1.800010999999999939e+01	9.891645999999999407e-10
1.700065000000000026e+01	1.473440000000000032e-09
1.600055000000000049e+01	2.006098000000000117e-09
1.500093999999999994e+01	2.619882999999999978e-09
1.400047999999999959e+01	3.332860000000000007e-09
1.300088000000000044e+01	4.110665999999999792e-09
1.200052999999999948e+01	4.878099000000000031e-09
1.100106000000000073e+01	5.674582000000000288e-09
1.000038999999999945e+01	6.506285000000000347e-09
9.000897999999999399e+00	7.298112999999999859e-09
8.000517000000000323e+00	8.102894000000000784e-09
7.000079000000000384e+00	8.884900999999999695e-09
6.000968000000000302e+00	9.578091999999999354e-09
5.000187000000000381e+00	1.026950999999999962e-08
4.001342000000000176e+00	1.094037999999999940e-08
3.000471999999999806e+00	1.158619999999999955e-08
2.000935999999999826e+00	1.218909999999999961e-08
1.000111999999999890e+00	1.277510000000000069e-08
9.020000000000000240e-04	1.329860000000000038e-08
-9.984859999999999847e-01	1.380761999999999993e-08
-1.999441999999999942e+00	1.428384999999999922e-08
-2.998565999999999843e+00	1.475517000000000003e-08
-3.998965000000000103e+00	1.518938999999999980e-08
-4.997917000000000165e+00	1.558201999999999992e-08
-5.998603000000000129e+00	1.600773999999999998e-08
-6.997809000000000168e+00	1.635411000000000072e-08
-7.998431000000000068e+00	1.673286000000000006e-08
-8.998815999999999704e+00	1.703524000000000041e-08
-9.998364999999999725e+00	1.734952999999999892e-08
-1.099915999999999983e+01	1.764432999999999836e-08
-1.199817000000000000e+01	1.799671999999999904e-08
-1.299896999999999991e+01	1.819050000000000000e-08
-1.399835999999999991e+01	1.845474999999999854e-08
-1.499845000000000006e+01	1.867896999999999842e-08
-1.599783000000000044e+01	1.889676000000000000e-08
-1.699832999999999927e+01	1.910632999999999848e-08
-1.799763000000000090e+01	1.930952000000000137e-08
-1.899811000000000050e+01	1.946853999999999944e-08
