Vg	Ids
-1.998539999999999850e+01	6.167837000000000360e-09
-1.899907999999999930e+01	-3.096537999999999818e-10
-1.799869999999999948e+01	-3.513079999999999825e-10
-1.699923000000000073e+01	-3.991372000000000163e-10
-1.599874999999999936e+01	-3.648215000000000000e-10
-1.499888999999999939e+01	-2.546374999999999905e-10
-1.399892999999999965e+01	-3.922894999999999795e-11
-1.299928000000000061e+01	-3.859784000000000017e-10
-1.199887999999999977e+01	-4.360341999999999872e-10
-1.099985999999999997e+01	-2.794881999999999779e-10
-9.998834000000000444e+00	-2.341897000000000025e-10
-8.999907000000000323e+00	-2.492217999999999986e-10
-7.999487000000000236e+00	-2.204232000000000118e-10
-6.998972000000000193e+00	-2.393014000000000232e-10
-5.999890999999999863e+00	-2.742748999999999852e-10
-4.999003000000000085e+00	1.039042999999999986e-10
-3.999960000000000182e+00	6.741249000000000571e-11
-2.999279000000000028e+00	-1.736563999999999877e-10
-1.999948999999999977e+00	-2.932546000000000142e-10
-9.993049999999999988e-01	-3.246348000000000255e-10
-1.019999999999999992e-04	-3.028713000000000106e-10
9.975889999999999480e-01	-4.413984000000000026e-10
1.998064999999999980e+00	-2.922927000000000137e-10
2.997136999999999940e+00	-1.463761999999999934e-10
3.997822999999999904e+00	-3.420454000000000046e-10
4.996749999999999581e+00	-3.325301000000000199e-10
5.997402000000000122e+00	-3.728177999999999820e-10
6.996603000000000350e+00	-3.717040000000000019e-10
7.997164999999999857e+00	-4.358306000000000190e-10
8.997619999999999507e+00	-3.988324999999999770e-10
9.996824999999999406e+00	-3.805611999999999969e-10
1.099752999999999936e+01	-2.974040999999999905e-10
1.199695000000000000e+01	-3.634033000000000245e-10
1.299722000000000044e+01	-4.030834999999999967e-10
1.399643999999999977e+01	-3.760061000000000257e-10
1.499721000000000082e+01	-4.099169000000000116e-10
1.599663999999999930e+01	-3.822820999999999945e-10
1.699714000000000169e+01	-3.353129999999999773e-10
1.799659000000000120e+01	-6.777596999999999503e-10
1.899699000000000026e+01	-4.760676999999999813e-10
1.998600000000000065e+01	-6.680029000000000239e-09
1.899861999999999895e+01	1.208090999999999918e-10
1.799840999999999980e+01	5.936535000000000169e-11
1.699893000000000143e+01	2.002712999999999979e-10
1.599876000000000076e+01	2.616122999999999983e-10
1.499934000000000012e+01	3.290226999999999995e-10
1.399887000000000015e+01	2.979491999999999931e-10
1.299952000000000041e+01	3.657139000000000248e-10
1.199916999999999945e+01	5.172270999999999742e-11
1.099981999999999971e+01	3.742667000000000245e-10
9.999314000000000036e+00	3.819085000000000156e-10
8.999777999999999167e+00	4.301889999999999814e-10
7.999623999999999846e+00	1.789126999999999875e-10
6.998908000000000129e+00	7.308138999999999583e-11
5.999903999999999904e+00	2.039361999999999929e-11
4.999175000000000146e+00	7.146195999999999855e-11
3.999518000000000129e+00	4.333773000000000250e-10
2.999223000000000194e+00	2.138860999999999951e-10
1.999691000000000107e+00	1.896426000000000054e-10
9.991160000000000041e-01	2.057881000000000093e-10
-3.899999999999999929e-04	2.379272000000000115e-10
-9.972320000000000073e-01	-1.665697999999999876e-10
-1.997867000000000060e+00	1.784066000000000092e-10
-2.996922999999999782e+00	1.936411000000000046e-10
-3.997411000000000048e+00	2.180869999999999935e-10
-4.996767000000000181e+00	2.083187999999999900e-10
-5.997474999999999667e+00	2.405589999999999858e-10
-6.996500000000000163e+00	2.915723999999999970e-10
-7.997100999999999793e+00	2.699626000000000186e-10
-8.997512000000000398e+00	2.732015999999999905e-10
-9.997194000000000358e+00	4.626288000000000144e-10
-1.099733999999999945e+01	2.864610000000000203e-10
-1.199695999999999962e+01	-2.333541999999999954e-11
-1.299741999999999997e+01	4.611103999999999962e-10
-1.399637000000000064e+01	2.485553000000000195e-10
-1.499726000000000070e+01	5.202209999999999968e-10
-1.599635999999999925e+01	3.047811999999999752e-10
-1.699737999999999971e+01	4.282656000000000043e-10
-1.799659000000000120e+01	4.463326999999999801e-10
-1.899717000000000056e+01	3.557943999999999744e-10
