Vg	Ids
-1.998872000000000071e+01	1.195742000000000067e-08
-1.900030999999999892e+01	5.781671999999999760e-09
-1.799944999999999951e+01	5.733341999999999783e-09
-1.700019999999999953e+01	5.702773000000000279e-09
-1.599990999999999985e+01	5.418200000000000170e-09
-1.500038999999999945e+01	5.628733000000000398e-09
-1.400036000000000058e+01	4.553244000000000329e-09
-1.300090999999999930e+01	5.431911000000000021e-09
-1.200065000000000026e+01	5.218190000000000155e-09
-1.100134000000000079e+01	5.079420000000000229e-09
-1.000064000000000064e+01	5.064845999999999903e-09
-9.001160000000000494e+00	4.799355999999999820e-09
-8.000837999999999894e+00	4.733764999999999938e-09
-6.999967999999999968e+00	4.426164999999999883e-09
-6.000924999999999621e+00	4.127166999999999796e-09
-5.000092999999999677e+00	3.932577999999999859e-09
-4.000964999999999883e+00	3.707418000000000194e-09
-3.000269999999999992e+00	3.524617999999999957e-09
-2.000789999999999846e+00	3.196520999999999947e-09
-1.000275000000000025e+00	2.763967000000000202e-09
6.620000000000000450e-04	2.552674999999999976e-09
9.987690000000000179e-01	2.324987000000000132e-09
1.999270000000000103e+00	1.901543000000000162e-09
2.998635000000000161e+00	1.990360000000000145e-09
3.999274000000000218e+00	1.587514000000000066e-09
4.998394000000000226e+00	1.518431999999999911e-09
5.998873999999999818e+00	1.471113999999999931e-09
6.997813999999999979e+00	1.256734000000000098e-09
7.998590000000000089e+00	1.020998000000000076e-09
8.998727000000000587e+00	5.862682000000000290e-10
9.998181000000000651e+00	6.141536000000000039e-10
1.099865999999999921e+01	5.026118000000000407e-10
1.199802999999999997e+01	3.717373000000000187e-10
1.299835000000000029e+01	3.480017000000000123e-10
1.399765999999999977e+01	2.380790000000000109e-10
1.499840000000000018e+01	2.049780000000000081e-10
1.599789999999999957e+01	1.846820999999999996e-10
1.699849000000000032e+01	1.558346999999999923e-11
1.799801000000000073e+01	-5.016099000000000233e-12
1.899860999999999933e+01	-1.933984000000000060e-10
1.998601999999999990e+01	-6.630892000000000267e-09
1.900006000000000128e+01	5.143022999999999808e-10
1.799952000000000041e+01	6.447213999999999529e-10
1.700030999999999892e+01	8.900224000000000346e-10
1.599975000000000058e+01	1.102378000000000058e-09
1.500090999999999930e+01	1.715706000000000031e-09
1.400013000000000041e+01	1.826286000000000077e-09
1.300101000000000084e+01	2.299985000000000097e-09
1.200065999999999988e+01	2.627120999999999825e-09
1.100126999999999988e+01	3.018530999999999820e-09
1.000019999999999953e+01	3.462825000000000189e-09
9.001129999999999853e+00	3.589954000000000030e-09
8.000550999999999746e+00	3.903880999999999870e-09
7.000005999999999950e+00	4.122256000000000163e-09
6.000625000000000320e+00	4.293771000000000061e-09
4.999736999999999654e+00	4.473586999999999929e-09
4.000843999999999845e+00	4.626321000000000117e-09
3.000183999999999962e+00	4.665190000000000100e-09
2.001021000000000161e+00	4.835790000000000317e-09
1.000412000000000079e+00	5.014241000000000159e-09
9.190000000000000035e-04	5.062063000000000328e-09
-9.988329999999999709e-01	4.804462000000000402e-09
-1.999446000000000057e+00	5.235701000000000344e-09
-2.998299999999999965e+00	5.348205999999999636e-09
-3.998895999999999784e+00	5.392085999999999695e-09
-4.997933999999999877e+00	5.480598999999999967e-09
-5.998834999999999695e+00	5.557772000000000151e-09
-6.997899999999999565e+00	5.595733000000000202e-09
-7.999011000000000315e+00	5.642496000000000281e-09
-8.999404999999999433e+00	5.705404000000000205e-09
-9.998283999999999949e+00	5.731421999999999856e-09
-1.099863000000000035e+01	5.773930000000000140e-09
-1.199792000000000058e+01	5.818366999999999911e-09
-1.299906999999999968e+01	6.011288000000000015e-09
-1.399792000000000058e+01	5.839065999999999738e-09
-1.499855999999999945e+01	5.873481999999999674e-09
-1.599785999999999930e+01	5.923934999999999768e-09
-1.699868999999999986e+01	6.793649999999999592e-09
-1.799774999999999991e+01	6.319698999999999685e-09
-1.899843999999999866e+01	6.032696000000000030e-09
