Vg	Ids
-1.998379999999999868e+01	6.460358000000000409e-09
-1.899888999999999939e+01	-1.279566999999999982e-10
-1.799837000000000131e+01	-3.826428999999999774e-10
-1.699907999999999930e+01	-4.256647000000000056e-10
-1.599873999999999974e+01	-3.546537000000000013e-10
-1.499909000000000070e+01	-2.604117000000000076e-10
-1.399884999999999913e+01	-3.637135999999999878e-10
-1.299965000000000082e+01	-4.482882000000000050e-10
-1.199929999999999986e+01	-3.840094000000000160e-10
-1.099984000000000073e+01	-3.994463999999999908e-10
-9.999549999999999272e+00	-4.792632000000000454e-10
-8.999769000000000574e+00	-3.310677000000000168e-10
-7.999727000000000032e+00	-4.161990999999999923e-10
-6.998831000000000024e+00	-3.193254000000000045e-10
-5.999615999999999616e+00	-3.170982000000000166e-10
-4.999265000000000292e+00	-5.065436000000000001e-10
-3.999613000000000085e+00	-2.870343000000000166e-10
-2.999223000000000194e+00	-4.862477999999999719e-10
-1.999759999999999982e+00	-6.990761000000000278e-10
-9.992539999999999756e-01	-2.599560000000000172e-10
-1.110000000000000011e-04	-3.920562000000000177e-10
9.977340000000000098e-01	-2.754936000000000070e-10
1.998218999999999967e+00	-3.597143999999999981e-10
2.997583000000000109e+00	-4.339136999999999944e-10
3.997853999999999797e+00	-2.806563999999999801e-10
4.997179000000000038e+00	-3.438216999999999812e-10
5.997843999999999731e+00	-3.623964999999999800e-10
6.996585999999999750e+00	-3.040901000000000127e-10
7.997071000000000041e+00	-3.301559999999999919e-10
8.997538000000000480e+00	-4.316357999999999747e-10
9.997009999999999508e+00	-4.700504999999999993e-10
1.099770000000000003e+01	-7.423500000000000266e-10
1.199723999999999968e+01	-4.471233000000000208e-10
1.299774999999999991e+01	-3.968131999999999838e-10
1.399717000000000056e+01	-3.229687000000000223e-10
1.499737999999999971e+01	-4.110356000000000028e-10
1.599686999999999948e+01	-5.755788000000000225e-10
1.699712999999999852e+01	-4.061259999999999891e-10
1.799655999999999878e+01	-7.027194999999999741e-10
1.899682999999999922e+01	-3.889681000000000167e-10
1.998498999999999981e+01	-7.277119000000000293e-09
1.899869999999999948e+01	5.404939999999999949e-11
1.799858000000000047e+01	2.627763999999999861e-10
1.699912000000000134e+01	2.944575999999999945e-10
1.599869999999999948e+01	2.966338000000000102e-10
1.499926999999999921e+01	3.509370999999999854e-10
1.399873999999999974e+01	4.555455000000000064e-10
1.299944999999999951e+01	2.952167000000000234e-10
1.199924000000000035e+01	2.666732999999999873e-10
1.100000000000000000e+01	3.552387999999999851e-10
9.999128999999999934e+00	1.677267000000000067e-10
8.999665999999999499e+00	1.922740999999999875e-10
7.999705999999999761e+00	3.804925999999999978e-10
6.999044999999999739e+00	3.814034999999999744e-10
5.999624999999999986e+00	1.687389999999999950e-10
4.998831000000000024e+00	1.058267999999999990e-10
3.999766999999999850e+00	2.256787999999999952e-10
2.998841000000000090e+00	2.138353000000000091e-10
2.000081999999999915e+00	2.284625000000000008e-10
9.994340000000000446e-01	2.324608999999999939e-10
-1.410000000000000120e-04	2.847911999999999750e-10
-9.976920000000000233e-01	2.971904999999999882e-10
-1.998248999999999942e+00	1.720795000000000105e-10
-2.997291999999999845e+00	2.509340000000000146e-10
-3.997583000000000109e+00	2.495168999999999762e-10
-4.996852999999999767e+00	2.587276999999999853e-10
-5.997500999999999749e+00	2.576648999999999774e-10
-6.996728000000000058e+00	2.689507000000000027e-10
-7.997491000000000128e+00	2.579686000000000081e-10
-8.998143000000000669e+00	3.120693000000000237e-10
-9.997336000000000666e+00	2.774529000000000025e-10
-1.099788000000000032e+01	2.678372999999999949e-10
-1.199707000000000079e+01	2.959757000000000205e-10
-1.299700999999999951e+01	2.556405999999999930e-10
-1.399666999999999994e+01	4.981070999999999539e-10
-1.499703000000000053e+01	3.151058999999999965e-10
-1.599643000000000015e+01	2.613087999999999797e-10
-1.699714000000000169e+01	3.555422000000000236e-10
-1.799641000000000091e+01	3.079194000000000234e-10
-1.899708000000000041e+01	2.969878999999999769e-10
