Vg	Ids
-1.998577999999999832e+01	1.576219000000000014e-08
-1.900017000000000067e+01	6.706591999999999912e-09
-1.799953000000000003e+01	6.481130000000000345e-09
-1.700013999999999825e+01	8.251985000000000223e-09
-1.599973999999999918e+01	6.104147000000000138e-09
-1.500043999999999933e+01	5.737129000000000114e-09
-1.400028000000000006e+01	5.242832000000000409e-09
-1.300106000000000073e+01	4.624749000000000280e-09
-1.200064000000000064e+01	4.373679999999999728e-09
-1.100113999999999947e+01	3.945883000000000156e-09
-1.000050000000000061e+01	3.427599000000000129e-09
-9.001044000000000267e+00	3.176579999999999798e-09
-8.000524999999999665e+00	2.817559000000000031e-09
-6.999620000000000175e+00	2.225132999999999868e-09
-6.000492000000000381e+00	1.661248999999999916e-09
-5.000156999999999741e+00	1.253241999999999920e-09
-4.001076000000000299e+00	8.395140999999999930e-10
-3.000347000000000097e+00	6.584363000000000127e-10
-2.000996000000000219e+00	4.504339000000000176e-10
-1.000043000000000015e+00	2.413181999999999949e-10
2.239999999999999966e-04	1.071934999999999980e-10
9.982109999999999594e-01	-5.249096000000000275e-11
1.998810999999999893e+00	-1.460743999999999997e-10
2.998463000000000100e+00	-2.065570000000000085e-10
3.999025000000000052e+00	-2.384940999999999840e-10
4.998410999999999937e+00	-2.670905999999999896e-10
5.999216999999999800e+00	-3.840574999999999944e-10
6.997904000000000124e+00	-3.253458000000000244e-10
7.998508000000000173e+00	-4.143240000000000056e-10
8.998841999999999786e+00	-4.212582999999999762e-10
9.998314000000000590e+00	-3.082896999999999844e-10
1.099887999999999977e+01	-7.040331999999999837e-10
1.199860999999999933e+01	-5.142347999999999704e-10
1.299848000000000070e+01	-6.985672999999999644e-10
1.399802999999999997e+01	-4.883207000000000423e-10
1.499878999999999962e+01	-5.098305999999999703e-10
1.599793000000000021e+01	-1.345606999999999942e-09
1.699840000000000018e+01	-7.938208000000000015e-10
1.799756000000000000e+01	-5.049721000000000123e-10
1.899806999999999846e+01	-1.467325999999999954e-10
1.998780000000000001e+01	-8.110351999999999209e-09
1.900036000000000058e+01	4.387636000000000026e-11
1.799983999999999895e+01	9.707084000000000080e-11
1.700071000000000154e+01	2.402553999999999870e-10
1.599989000000000061e+01	3.461291999999999756e-10
1.500042000000000009e+01	4.748272000000000413e-10
1.399990000000000023e+01	7.239742999999999574e-10
1.300046000000000035e+01	9.434148000000000331e-10
1.200014000000000003e+01	1.198228999999999999e-09
1.100075999999999965e+01	1.457447999999999949e-09
1.000028000000000006e+01	1.701990000000000034e-09
9.000854999999999606e+00	1.977150999999999845e-09
8.000778000000000389e+00	2.348869999999999976e-09
7.000015000000000320e+00	2.631419999999999998e-09
6.000894999999999868e+00	2.972981000000000117e-09
5.000023999999999802e+00	3.276631999999999899e-09
4.000892000000000337e+00	3.474611000000000173e-09
3.000256999999999952e+00	3.773966000000000324e-09
2.000849999999999795e+00	4.046947999999999744e-09
1.000235999999999903e+00	4.321550000000000240e-09
8.630000000000000518e-04	4.554251999999999877e-09
-9.987340000000000106e-01	4.778497999999999767e-09
-1.999244999999999939e+00	4.992423999999999634e-09
-2.998419999999999863e+00	5.022634999999999996e-09
-3.998845000000000205e+00	5.463943999999999676e-09
-4.998063000000000144e+00	5.652460999999999636e-09
-5.998573000000000377e+00	5.805702999999999633e-09
-6.997728000000000392e+00	6.035216999999999633e-09
-7.998332999999999693e+00	6.145946000000000233e-09
-8.998684000000000793e+00	6.352734999999999777e-09
-9.998065000000000424e+00	6.462656000000000063e-09
-1.099868999999999986e+01	6.384469000000000072e-09
-1.199807999999999986e+01	6.809224000000000225e-09
-1.299868000000000023e+01	6.964791000000000211e-09
-1.399771999999999927e+01	7.076951000000000370e-09
-1.499846999999999930e+01	7.212067999999999667e-09
-1.599799999999999933e+01	7.317033000000000038e-09
-1.699810000000000088e+01	7.415975000000000336e-09
-1.799773000000000067e+01	7.523063999999999489e-09
-1.899823999999999913e+01	7.652567000000000050e-09
