Vg	Ids
-1.998621999999999943e+01	8.403411999999999849e-09
-1.900018999999999991e+01	1.395807000000000038e-09
-1.799971999999999994e+01	1.669906000000000044e-09
-1.700064000000000064e+01	1.946734999999999895e-09
-1.600009999999999977e+01	1.557149000000000037e-09
-1.500051000000000023e+01	1.529263000000000078e-09
-1.399998000000000076e+01	1.538676000000000074e-09
-1.300064000000000064e+01	1.471518999999999993e-09
-1.200003000000000064e+01	1.447378000000000004e-09
-1.100075999999999965e+01	1.442671000000000053e-09
-1.000014000000000003e+01	1.387607999999999909e-09
-9.000854999999999606e+00	1.309771999999999931e-09
-8.000358000000000303e+00	1.280418999999999898e-09
-6.999779000000000195e+00	1.145393999999999943e-09
-6.000727999999999618e+00	9.586483000000000716e-10
-4.999985999999999819e+00	9.521195000000000641e-10
-4.000723999999999947e+00	8.381990999999999826e-10
-3.000017000000000156e+00	8.421465999999999837e-10
-2.000751000000000168e+00	7.118791999999999792e-10
-1.000072999999999990e+00	5.849017000000000421e-10
6.489999999999999459e-04	4.171335000000000154e-10
9.984380000000000477e-01	1.435336000000000047e-10
1.998969999999999914e+00	2.603472000000000230e-10
2.998393999999999782e+00	1.755716999999999935e-10
3.998839999999999950e+00	1.032789999999999905e-09
4.998105999999999938e+00	-1.153021000000000024e-10
5.998740999999999879e+00	-8.493424999999999547e-11
6.998160999999999632e+00	-3.467539999999999743e-11
7.998662999999999634e+00	-1.251716999999999918e-10
8.999040000000000816e+00	-2.074181000000000078e-10
9.998364999999999725e+00	-2.409240000000000151e-10
1.099905000000000044e+01	-2.729115999999999843e-10
1.199841999999999942e+01	-4.429716999999999955e-10
1.299902999999999942e+01	-4.589152000000000243e-10
1.399802000000000035e+01	-3.854246000000000175e-10
1.499864999999999959e+01	-3.411883999999999940e-10
1.599793000000000021e+01	-3.522727999999999770e-10
1.699837000000000131e+01	-3.750995000000000239e-10
1.799782000000000082e+01	-5.249149000000000109e-10
1.899818000000000140e+01	-6.624808000000000187e-10
1.998590000000000089e+01	-7.202716999999999996e-09
1.900035000000000096e+01	2.879366000000000113e-11
1.799990999999999985e+01	1.316900999999999928e-10
1.700076999999999927e+01	2.496688000000000074e-10
1.600027000000000044e+01	3.550869000000000055e-10
1.500087000000000081e+01	4.444622000000000123e-10
1.400037999999999982e+01	6.113198999999999829e-10
1.300103999999999971e+01	7.302503000000000296e-10
1.200067999999999913e+01	9.076344999999999846e-10
1.100130000000000052e+01	1.048022999999999990e-09
1.000070000000000014e+01	1.221914999999999911e-09
9.001284999999999314e+00	1.308203999999999922e-09
8.000666999999999973e+00	1.311443000000000100e-09
7.000135000000000218e+00	1.500922000000000041e-09
6.000894999999999868e+00	1.507399999999999985e-09
5.000179000000000151e+00	1.636908000000000072e-09
4.000840000000000174e+00	1.603758999999999942e-09
3.000170999999999921e+00	1.743792999999999957e-09
2.000879999999999992e+00	2.000734999999999916e-09
9.999569999999999848e-01	1.849718000000000085e-09
3.910000000000000172e-04	1.952049000000000194e-09
-9.982879999999999532e-01	2.019917000000000067e-09
-1.998893000000000031e+00	2.261322000000000021e-09
-2.998149999999999871e+00	1.711200999999999952e-09
-3.998746000000000134e+00	-9.100794999999999694e-11
-4.997882999999999853e+00	2.005341999999999836e-09
-5.998711000000000126e+00	1.875072999999999942e-09
-6.997868999999999673e+00	2.077712000000000073e-09
-7.998414000000000357e+00	1.589791000000000058e-09
-8.998846999999999596e+00	2.050888999999999823e-09
-9.998364999999999725e+00	2.104734999999999970e-09
-1.099884999999999913e+01	2.210660999999999797e-09
-1.199831000000000003e+01	2.417803000000000196e-09
-1.299873000000000012e+01	2.408186000000000104e-09
-1.399818999999999924e+01	2.421446000000000119e-09
-1.499881000000000064e+01	2.251603999999999993e-09
-1.599798999999999971e+01	2.205498999999999975e-09
-1.699848000000000070e+01	2.206965999999999842e-09
-1.799790000000000134e+01	2.315776000000000007e-09
-1.899848000000000070e+01	2.221289999999999885e-09
