Vg	Ids
-2.997891999999999868e+01	8.140951999999999496e-09
-2.899771000000000143e+01	-2.704212999999999831e-10
-2.799822999999999951e+01	-2.444067000000000200e-10
-2.699795999999999907e+01	-7.379299999999999788e-11
-2.599851999999999919e+01	-1.632247000000000050e-10
-2.499797999999999831e+01	-3.172878999999999999e-10
-2.399851999999999919e+01	-1.860507999999999899e-10
-2.299820000000000064e+01	-3.777193999999999788e-10
-2.199780000000000157e+01	-2.053339000000000058e-10
-2.099842999999999904e+01	-1.889355999999999891e-10
-1.999831000000000003e+01	-2.211755999999999988e-10
-1.899878999999999962e+01	-3.781237000000000247e-10
-1.799844999999999828e+01	-2.300326000000000076e-10
-1.699915999999999983e+01	-2.443051999999999765e-10
-1.599862000000000073e+01	-4.620895999999999797e-10
-1.499896999999999991e+01	-3.891567999999999915e-10
-1.399848000000000070e+01	6.862969000000000178e-11
-1.299924999999999997e+01	-7.386335000000000426e-10
-1.199898999999999916e+01	-2.828716000000000202e-10
-1.099938000000000038e+01	-5.304655999999999719e-10
-9.998713000000000406e+00	-4.485242000000000133e-10
-8.999700999999999951e+00	-2.915264000000000160e-10
-7.999607000000000134e+00	-2.426858000000000224e-10
-6.998637999999999693e+00	-2.704713999999999786e-10
-5.999526000000000359e+00	-3.811096000000000174e-10
-4.998934000000000211e+00	-2.571100999999999846e-10
-3.999878999999999962e+00	-3.512992000000000208e-10
-2.999312999999999896e+00	-3.514002999999999885e-10
-1.999703999999999926e+00	-3.027111000000000219e-10
-9.991759999999999531e-01	-3.088861000000000031e-10
-3.339999999999999870e-04	-6.341730000000000444e-11
9.973309999999999675e-01	-2.338276999999999989e-10
1.997824000000000044e+00	-7.014866000000000010e-11
2.997141000000000055e+00	-3.090884000000000222e-10
3.997526999999999830e+00	-3.093918999999999891e-10
4.996741000000000099e+00	-2.966881000000000004e-10
5.997853000000000101e+00	-3.589412000000000240e-10
6.996767000000000181e+00	-4.471581999999999790e-10
7.997436000000000433e+00	-4.064149999999999867e-10
8.997752000000000194e+00	-2.803407000000000016e-10
9.996798999999999324e+00	-2.069022999999999877e-10
1.099740000000000073e+01	-4.510046999999999925e-10
1.199671999999999983e+01	-4.550533999999999932e-10
1.299681999999999960e+01	-6.184288999999999633e-10
1.399614000000000047e+01	-3.741750999999999831e-10
1.499670000000000059e+01	-5.688295999999999648e-10
1.599605000000000032e+01	-4.081360999999999964e-10
1.699655999999999878e+01	-3.949771000000000215e-10
1.799577999999999989e+01	-4.044918000000000217e-10
1.899628999999999834e+01	-3.647111000000000146e-10
1.999556000000000111e+01	-4.009489999999999872e-10
2.099605000000000032e+01	-3.701766999999999900e-10
2.199556000000000111e+01	-4.598112000000000075e-10
2.299602000000000146e+01	-3.755414999999999899e-10
2.399630000000000152e+01	-3.634955999999999788e-10
2.499577000000000027e+01	-3.997342000000000195e-10
2.599621000000000137e+01	-3.818679999999999783e-10
2.699549999999999983e+01	-4.068199000000000170e-10
2.799597999999999942e+01	-4.262547999999999806e-10
2.899524999999999864e+01	-6.309300000000000122e-10
2.998056000000000054e+01	-8.565429000000000366e-09
2.899764000000000053e+01	9.808612000000000332e-11
2.799816999999999823e+01	9.140540000000000470e-11
2.699802999999999997e+01	1.007685999999999978e-10
2.599848000000000070e+01	1.342231999999999889e-10
2.499804999999999922e+01	1.422198999999999950e-10
2.399853999999999843e+01	1.267832000000000125e-10
2.299811000000000050e+01	1.807356999999999873e-10
2.199782000000000082e+01	1.941983999999999929e-10
2.099878999999999962e+01	-3.927489000000000250e-11
1.999786999999999892e+01	1.578084000000000028e-10
1.899875000000000114e+01	1.461170000000000084e-10
1.799822999999999951e+01	1.812417999999999914e-10
1.699904000000000082e+01	1.632239000000000085e-10
1.599827999999999939e+01	1.903520000000000112e-10
1.499948999999999977e+01	6.731559999999999642e-12
1.399850999999999956e+01	1.824057999999999989e-10
1.299956000000000067e+01	6.412557999999999705e-11
1.199884999999999913e+01	2.317526000000000027e-10
1.099957999999999991e+01	2.477961000000000104e-10
9.998974999999999724e+00	2.645978000000000187e-10
8.999838000000000449e+00	2.242137000000000102e-11
7.999572999999999823e+00	5.840639000000000514e-11
6.998878000000000377e+00	1.079556000000000010e-10
5.999659000000000297e+00	9.469532000000000610e-11
4.998827000000000353e+00	1.189384000000000119e-10
3.999801999999999857e+00	3.034138999999999918e-10
2.998746000000000134e+00	3.217338999999999864e-10
1.999751000000000056e+00	1.740042999999999944e-10
9.989789999999999504e-01	1.473318000000000020e-10
-1.710000000000000094e-04	1.800271000000000038e-10
-9.973349999999999715e-01	2.419762000000000045e-10
-1.997880000000000100e+00	1.148388999999999993e-10
-2.997183999999999848e+00	1.881250999999999897e-10
-3.997660000000000213e+00	-7.439659999999999826e-12
-4.996724000000000387e+00	9.449287000000000386e-11
-5.997221999999999831e+00	1.883274999999999889e-10
-6.996659000000000184e+00	7.855014999999999887e-11
-7.997453000000000145e+00	3.295779999999999966e-10
-8.997697000000000500e+00	1.956156999999999917e-10
-9.997009999999999508e+00	1.746151999999999889e-11
-1.099709000000000003e+01	3.261873000000000054e-10
-1.199679000000000073e+01	-3.067032999999999903e-11
-1.299741000000000035e+01	1.094234999999999996e-10
-1.399668999999999919e+01	-6.503581000000000054e-11
-1.499685000000000024e+01	1.781038999999999871e-10
-1.599656000000000056e+01	1.625661000000000111e-10
-1.699660000000000082e+01	4.246190000000000202e-10
-1.799627999999999872e+01	-1.266304000000000046e-10
-1.899673999999999907e+01	2.424822999999999827e-10
-1.999602000000000146e+01	2.429378000000000128e-10
-2.099634000000000000e+01	1.620599000000000010e-10
-2.199524999999999864e+01	3.705701000000000250e-10
-2.299605000000000032e+01	1.718281000000000045e-10
-2.399643000000000015e+01	1.845317000000000070e-10
-2.499596999999999980e+01	2.130767999999999905e-10
-2.599659000000000120e+01	1.992597000000000000e-10
-2.699605000000000032e+01	2.585249000000000137e-10
-2.799624000000000024e+01	2.039159999999999967e-10
