Vg	Ids
-1.998741000000000057e+01	2.446219999999999851e-09
-1.900025000000000119e+01	1.632642999999999984e-09
-1.799990000000000023e+01	1.671963999999999914e-09
-1.700049999999999883e+01	1.561386000000000092e-09
-1.600027000000000044e+01	1.366139000000000094e-09
-1.500079999999999991e+01	1.308495999999999945e-09
-1.400047999999999959e+01	1.213960000000000014e-09
-1.300130000000000052e+01	1.194272999999999977e-09
-1.200093000000000032e+01	1.052873000000000031e-09
-1.100142999999999915e+01	9.690155000000000438e-10
-1.000085999999999942e+01	7.964917000000000321e-10
-9.001369999999999649e+00	6.904669000000000406e-10
-8.000954999999999373e+00	7.372796999999999681e-10
-7.000289000000000428e+00	5.172348999999999920e-10
-6.000933999999999990e+00	4.154108999999999929e-10
-5.000072000000000294e+00	3.565534000000000232e-10
-4.000664000000000442e+00	2.869164000000000185e-10
-3.000103000000000186e+00	4.993194000000000035e-10
-2.000776999999999806e+00	1.013742999999999955e-10
-1.000069000000000097e+00	1.280977999999999989e-10
7.479999999999999670e-04	5.820173999999999955e-11
9.987650000000000139e-01	3.809972999999999950e-10
1.999438000000000049e+00	-1.133990000000000018e-11
2.998664999999999914e+00	-3.300216000000000203e-11
3.999197000000000113e+00	-7.496000999999999817e-11
4.998140000000000249e+00	-8.153979999999999795e-11
5.998929999999999652e+00	-1.565979999999999901e-10
6.998007000000000311e+00	-1.545737000000000057e-10
7.998473999999999862e+00	-2.282654000000000108e-10
8.999083000000000609e+00	-2.244697000000000091e-10
9.998652999999999125e+00	-3.305534999999999897e-10
1.099901999999999980e+01	-3.163319999999999991e-10
1.199790999999999919e+01	-3.307566000000000053e-10
1.299854000000000021e+01	-3.333882999999999994e-10
1.399821000000000026e+01	-3.954902000000000081e-10
1.499831000000000003e+01	-4.034361000000000023e-10
1.599840999999999980e+01	-4.446346999999999928e-10
1.699831000000000003e+01	-4.375490999999999754e-10
1.799801000000000073e+01	-4.533407000000000246e-10
1.899828000000000117e+01	-5.682310999999999487e-10
1.998746999999999829e+01	-1.075978000000000025e-09
1.900028000000000006e+01	-4.315769000000000175e-10
1.799972999999999956e+01	-3.561643999999999948e-10
1.700092000000000070e+01	-3.422961999999999744e-10
1.600039999999999907e+01	-3.098024999999999753e-10
1.500107000000000035e+01	-5.266537000000000180e-12
1.400075000000000003e+01	-1.653544999999999898e-10
1.300122999999999962e+01	-1.479944000000000044e-10
1.200080999999999953e+01	-1.139824999999999990e-10
1.100131999999999977e+01	-9.616691000000000225e-11
1.000064000000000064e+01	2.312706000000000102e-11
9.001405000000000101e+00	3.993053000000000030e-11
8.000992999999999356e+00	1.489499999999999871e-10
7.000379999999999825e+00	2.185932000000000036e-10
6.001057999999999559e+00	3.201660999999999890e-10
5.000166000000000111e+00	5.658699000000000003e-10
4.000917000000000279e+00	3.563005999999999845e-10
3.000081000000000220e+00	4.703717999999999535e-10
2.000780999999999921e+00	6.178949999999999637e-10
9.998590000000000533e-01	7.697200000000000055e-10
3.699999999999999947e-04	7.452259999999999865e-10
-9.984859999999999847e-01	8.895103999999999851e-10
-1.999141999999999975e+00	9.245816999999999485e-10
-2.998472000000000026e+00	6.985143000000000267e-10
-3.999368000000000034e+00	9.031238999999999815e-10
-4.998458000000000290e+00	1.022407999999999971e-09
-5.999208000000000318e+00	1.092551000000000025e-09
-6.997955000000000148e+00	1.196854999999999999e-09
-7.998778999999999861e+00	1.230762999999999920e-09
-8.999150999999999456e+00	1.286685000000000091e-09
-9.998421999999999699e+00	1.389724000000000070e-09
-1.099881000000000064e+01	1.671358999999999998e-09
-1.199793999999999983e+01	1.486589000000000025e-09
-1.299859000000000009e+01	1.470849000000000036e-09
-1.399785999999999930e+01	1.600406000000000026e-09
-1.499855999999999945e+01	1.756178000000000013e-09
-1.599807999999999986e+01	1.904057000000000014e-09
-1.699857000000000085e+01	1.963570999999999981e-09
-1.799812000000000012e+01	1.836240999999999967e-09
-1.899859000000000009e+01	1.912609000000000173e-09
