Vg	Ids
-9.993185999999999680e+00	2.589808999999999964e-10
-9.000830000000000553e+00	8.633957000000000628e-11
-8.000203000000000841e+00	6.057728999999999865e-11
-6.999685000000000379e+00	3.181705000000000123e-12
-6.000453000000000259e+00	2.180739999999999854e-11
-5.000208999999999904e+00	1.229215000000000069e-11
-4.001081000000000110e+00	-1.078764999999999958e-11
-3.000183999999999962e+00	-2.840117000000000024e-11
-2.001030000000000086e+00	-3.381680999999999957e-11
-1.000374000000000096e+00	-5.689660000000000053e-11
6.750000000000000357e-04	-3.604374999999999896e-11
9.985669999999999824e-01	-9.404676999999999752e-11
1.999270000000000103e+00	-1.101419999999999982e-10
2.998596000000000039e+00	-1.301848999999999947e-10
3.999308000000000085e+00	-1.520500000000000074e-10
4.998248000000000246e+00	-1.508858999999999938e-10
5.999259999999999593e+00	-1.764456999999999949e-10
6.998247000000000106e+00	-1.921355999999999884e-10
7.998942000000000441e+00	-2.021572999999999953e-10
8.999356999999999829e+00	-2.267550999999999897e-10
9.992765000000000342e+00	-3.889716999999999752e-10
9.001022000000000745e+00	-1.732570000000000046e-10
8.000679999999999126e+00	-1.520499000000000014e-10
6.999907000000000323e+00	-1.588318999999999941e-10
6.000873999999999597e+00	-1.427370999999999961e-10
5.000075999999999965e+00	-1.679424000000000062e-10
4.000917000000000279e+00	-1.295775000000000108e-10
3.000338999999999867e+00	-7.633207999999999517e-11
2.000983000000000178e+00	-4.798847000000000262e-11
1.000361000000000056e+00	5.263111999999999718e-11
8.329999999999999731e-04	-5.441622000000000014e-11
-9.989489999999999759e-01	8.496231000000000211e-12
-1.999501999999999891e+00	2.069410999999999935e-11
-2.998698999999999781e+00	-9.825806999999999594e-12
-3.999381000000000075e+00	5.597160000000000114e-11
-4.998448999999999920e+00	9.625999000000000613e-11
-5.998770999999999631e+00	5.743943999999999743e-11
-6.998045000000000293e+00	1.102293000000000001e-10
-7.998460999999999821e+00	1.120513999999999973e-10
-8.999014000000000735e+00	1.337140000000000048e-10
