Voltage   	Current
-30.007915	-1.395282E-9
-29.908661	-1.099901E-9
-29.806261	-9.563591E-10
-29.707188	-8.667217E-10
-29.608309	-8.057823E-10
-29.509062	-7.905989E-10
-29.406761	-7.391744E-10
-29.307083	-9.210305E-10
-29.208158	-6.929641E-10
-29.108923	-6.957477E-10
-29.006565	-6.425527E-10
-28.907209	-6.459947E-10
-28.808273	-6.471582E-10
-28.705738	-6.248885E-10
-28.606760	-6.207381E-10
-28.507620	-6.047947E-10
-28.401524	-5.927485E-10
-28.302538	-5.797913E-10
-28.199923	-5.856117E-10
-28.100775	-5.743758E-10
-28.001663	-5.629875E-10
-27.902601	-5.394016E-10
-27.800119	-5.423877E-10
-27.701164	-5.542820E-10
-27.601477	-5.328217E-10
-27.499176	-5.334798E-10
-27.399887	-5.109054E-10
-27.300871	-4.708707E-10
-27.201527	-4.184849E-10
-27.099319	-3.812330E-10
-27.000082	-3.621012E-10
-26.901066	-4.121579E-10
-26.801411	-4.656568E-10
-26.699076	-4.882307E-10
-26.599905	-5.538265E-10
-26.500719	-6.038332E-10
-26.398430	-5.895593E-10
-26.299189	-5.490187E-10
-26.200384	-5.190547E-10
-26.101349	-5.046801E-10
-25.999144	-4.975941E-10
-25.899797	-4.934439E-10
-25.800867	-4.754252E-10
-25.698587	-4.664161E-10
-25.599682	-4.588750E-10
-25.500570	-4.638347E-10
-25.395061	-4.445508E-10
-25.296032	-4.465753E-10
-25.197191	-4.392364E-10
-25.094360	-4.355418E-10
-24.995573	-4.331629E-10
-24.896507	-4.347826E-10
-24.794352	-4.228883E-10
-24.695255	-4.226350E-10
-24.596251	-4.365538E-10
-24.497553	-4.086154E-10
-24.395185	-4.097789E-10
-24.296186	-4.046168E-10
-24.196918	-4.097289E-10
-24.094757	-4.074004E-10
-23.995487	-4.035535E-10
-23.896749	-3.970748E-10
-23.797564	-3.934816E-10
-23.695498	-4.057807E-10
-23.596363	-3.825490E-10
-23.497429	-3.831058E-10
-23.394745	-3.813342E-10
-23.295818	-3.800182E-10
-23.196800	-3.733377E-10
-23.097935	-3.810811E-10
-22.995693	-3.686808E-10
-22.896944	-3.670610E-10
-22.798058	-3.825994E-10
-22.695660	-3.533449E-10
-22.596733	-3.668079E-10
-22.497414	-3.559765E-10
-22.391962	-3.531422E-10
-22.292843	-3.341620E-10
-22.193943	-3.388186E-10
-22.091566	-3.562298E-10
-21.992733	-3.515734E-10
-21.893721	-3.594690E-10
-21.791445	-3.393753E-10
-21.691957	-3.501056E-10
-21.593174	-3.523835E-10
-21.494068	-3.595707E-10
-21.391905	-3.694396E-10
-21.292692	-3.371484E-10
-21.193928	-3.284931E-10
-21.091528	-3.312768E-10
-20.992767	-3.529905E-10
-20.893318	-3.344153E-10
-20.794361	-3.330990E-10
-20.692352	-3.190788E-10
-20.593109	-3.110823E-10
-20.494274	-3.073872E-10
-20.391766	-2.579880E-10
-20.293037	-2.744374E-10
-20.193913	-2.951895E-10
-20.095139	-3.115374E-10
-19.992352	-3.030345E-10
-19.893496	-2.504972E-10
-19.794397	-1.816121E-10
-19.695467	-2.356168E-10
-19.593458	-2.721602E-10
-19.494741	-3.232293E-10
