V	I			V	I	
0	6.80E-09	5.90E-09		0		1.68E-08
-0.5	7.90E-09	6.40E-09		1	4.90E-09	1.46E-08
-1	9.20E-09	7.10E-09		2	2.80E-09	1.28E-08
-2	1.19E-08	9.10E-09		3	3.10E-09	1.08E-08
-3	1.49E-08	1.10E-08		4	2.50E-09	8.60E-09
-4	1.76E-08	1.39E-08		5	2.10E-09	6.80E-09
-5	2.01E-08	1.69E-08		6	1.80E-09	5.10E-09
-6	2.23E-08	1.93E-08		7	1.40E-09	3.60E-09
-7	2.42E-08	2.17E-08		8	1.40E-09	2.40E-09
-8	2.59E-08	2.42E-08		9	1.10E-09	1.70E-09
-9	2.75E-08	2.65E-08		10	1.00E-09	
-10	2.88E-08					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
