Vsd	Rds
0	38200000
-2	31500000
-4	27100000
-6	24800000
-8	23000000
-10	21700000
-12	20700000
-14	20200000
-16	19600000
-18	19100000
-20	18700000
-22	18500000
-24	18200000
-26	18000000
-24	19300000
-22	20700000
-20	22300000
-18	24700000
-16	28200000
-14	31400000
-12	36200000
-10	40000000
-8	44000000
-6	48600000
-4	51200000
-2	54000000
0	57100000
2	58300000
4	60400000
6	62400000
8	63400000
10	64000000
12	64500000
14	64800000
16	65000000
18	65200000
20	65800000
22	66000000
24	66500000
26	67200000
24	64700000
22	60500000
20	53500000
18	47500000
16	42100000
14	37800000
12	34200000
10	31700000
8	29000000
6	27300000
4	25800000
2	24400000
0	23400000
