VG	IDS	
0	1.28E-08	
-1	1.58E-08	
-2	1.82E-08	
-3	2.03E-08	
-4	0.000000022	
-5	2.37E-08	
-6	2.52E-08	
-7	2.66E-08	
-8	2.77E-08	
-9	2.88E-08	
-10	2.97E-08	
-11	3.04E-08	
-12	0.000000031	
-13	3.18E-08	
-14	3.26E-08	
-15	3.32E-08	
-14	3.09E-08	
-13	2.91E-08	
-12	2.71E-08	
-11	2.49E-08	
-10	2.26E-08	
-9	2.03E-08	
-8	1.84E-08	
-7	1.56E-08	
-6	1.33E-08	
-5	1.12E-08	
-4	9.7E-09	
-3	7.8E-09	
-2	6.7E-09	
-1	5.5E-09	
0	4.5E-09	
1	4.2E-09	
2	3.4E-09	
3	2.6E-09	
4	2.2E-09	
5	1.8E-09	
6	1.4E-09	
7	1.1E-09	
8	9E-10	
9	8E-10	
10	7.2E-10	
11	5.3E-10	
12	5.5E-10	
13	4.5E-10	
14	3.7E-10	
15	3E-10	
14	6.5E-10	
13	1.16E-09	
12	1.87E-09	
11	0.000000003	
10	4.1E-09	
9	5.6E-09	
8	7.1E-09	
7	8.8E-09	
6	1.04E-08	
5	1.21E-08	
4	1.41E-08	
3	1.54E-08	
2	0.000000017	
1	1.85E-08	
0	2.01E-08	
