Vsd	Rds	dRds
-26	1620000	100000
-24	1820000	100000
-22	2150000	100000
-20	3150000	100000
-18	5000000	100000
-16	8100000	100000
-14	12500000	500000
-12	19900000	500000
-10	25000000	5000000
-8	48000000	5000000
-6	100000000	20000000
-4	110000000	20000000
-2	150000000	50000000
0	150000000	50000000
2	180000000	50000000
4	200000000	50000000
6	200000000	100000000
8	300000000	200000000
10	300000000	200000000
12	300000000	200000000
14	500000000	800000000
16	500000000	800000000
18	500000000	800000000
20	7000000000	7500000000
22	7000000000	7500000000
24	7000000000	7500000000
26	7000000000	7500000000
24	7000000000	7500000000
22	7000000000	7500000000
20	500000000	1000000000
18	200000000	100000000
16	200000000	100000000
14	200000000	100000000
12	100000000	50000000
10	20000000	4000000
8	9000000	1000000
6	4200000	500000
4	3200000	100000
2	2700000	100000
0	2300000	100000
