Resistance       	Number of Steps. Time between each step is .15s	    
6.58E+07	200	
6.60E+07	0	
6.58E+07	0	
6.62E+07	0	
6.59E+07	0	
6.58E+07	0	
6.58E+07	0	
6.56E+07	0	
6.56E+07	0	
6.56E+07	0	
6.56E+07	0	
6.59E+07	0	
6.54E+07	0	
6.55E+07	0	
6.57E+07	0	
6.56E+07	0	
6.57E+07	0	
6.58E+07	0	
6.59E+07	0	
6.57E+07	0	
6.55E+07	0	
6.56E+07	0	
6.59E+07	0	
6.55E+07	0	
6.58E+07	0	
6.59E+07	0	
6.58E+07	0	
6.55E+07	0	
6.56E+07	0	
6.58E+07	0	
6.56E+07	0	
6.57E+07	0	
6.54E+07	0	
6.56E+07	0	
6.55E+07	0	
6.57E+07	0	
6.58E+07	0	
6.56E+07	0	
6.57E+07	0	
6.57E+07	0	
6.58E+07	0	
6.59E+07	0	
6.59E+07	0	
6.58E+07	0	
6.60E+07	0	
6.57E+07	0	
6.60E+07	0	
6.60E+07	0	
6.59E+07	0	
6.56E+07	0	
6.59E+07	0	
6.56E+07	0	
6.57E+07	0	
6.52E+07	0	
6.53E+07	0	
6.57E+07	0	
6.58E+07	0	
6.59E+07	0	
6.60E+07	0	
6.62E+07	0	
6.61E+07	0	
6.61E+07	0	
6.60E+07	0	
6.62E+07	0	
6.60E+07	0	
6.61E+07	0	
6.55E+07	0	
6.57E+07	0	
6.57E+07	0	
6.53E+07	0	
6.55E+07	0	
6.56E+07	0	
6.57E+07	0	
6.56E+07	0	
6.56E+07	0	
6.53E+07	0	
6.55E+07	0	
6.54E+07	0	
6.54E+07	0	
6.59E+07	0	
6.57E+07	0	
6.56E+07	0	
6.56E+07	0	
6.61E+07	0	
6.60E+07	0	
6.58E+07	0	
6.56E+07	0	
6.60E+07	0	
6.60E+07	0	
6.61E+07	0	
6.61E+07	0	
6.59E+07	0	
6.57E+07	0	
6.58E+07	0	
6.58E+07	0	
6.58E+07	0	
6.59E+07	0	
6.58E+07	0	
6.60E+07	0	
6.58E+07	0	
6.57E+07	0	
6.57E+07	0	
6.58E+07	0	
6.57E+07	0	
6.56E+07	0	
6.55E+07	0	
6.56E+07	0	
6.62E+07	0	
6.57E+07	0	
6.60E+07	0	
6.60E+07	0	
6.58E+07	0	
6.60E+07	0	
6.61E+07	0	
6.63E+07	0	
6.62E+07	0	
6.61E+07	0	
6.61E+07	0	
6.59E+07	0	
6.63E+07	0	
6.62E+07	0	
6.62E+07	0	
6.63E+07	0	
6.61E+07	0	
6.57E+07	0	
6.61E+07	0	
6.63E+07	0	
6.61E+07	0	
6.60E+07	0	
6.60E+07	0	
6.63E+07	0	
6.61E+07	0	
6.61E+07	0	
6.60E+07	0	
6.58E+07	0	
6.59E+07	0	
6.57E+07	0	
6.60E+07	0	
6.58E+07	0	
6.59E+07	0	
6.59E+07	0	
6.59E+07	0	
6.56E+07	0	
6.55E+07	0	
6.58E+07	0	
6.58E+07	0	
6.61E+07	0	
6.60E+07	0	
6.61E+07	0	
6.60E+07	0	
6.59E+07	0	
6.62E+07	0	
6.63E+07	0	
6.58E+07	0	
6.60E+07	0	
6.61E+07	0	
6.60E+07	0	
6.62E+07	0	
6.59E+07	0	
6.60E+07	0	
6.57E+07	0	
6.58E+07	0	
6.58E+07	0	
6.56E+07	0	
6.60E+07	0	
6.60E+07	0	
6.57E+07	0	
6.63E+07	0	
6.59E+07	0	
6.59E+07	0	
6.56E+07	0	
6.57E+07	0	
6.60E+07	0	
6.59E+07	0	
6.58E+07	0	
6.58E+07	0	
6.59E+07	0	
6.60E+07	0	
6.62E+07	0	
6.58E+07	0	
6.59E+07	0	
6.62E+07	0	
6.61E+07	0	
6.59E+07	0	
6.58E+07	0	
6.59E+07	0	
6.61E+07	0	
6.60E+07	0	
6.59E+07	0	
6.59E+07	0	
6.59E+07	0	
6.58E+07	0	
6.61E+07	0	
6.60E+07	0	
6.61E+07	0	
6.62E+07	0	
6.63E+07	0	
6.61E+07	0	
6.64E+07	0	
6.62E+07	0	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
