VG	IDS
-1	3.10E-10
-2	3.40E-10
-3	3.60E-10
-4	3.80E-10
-5	4.00E-10
-6	4.10E-10
-7	4.30E-10
-8	4.40E-10
-9	4.50E-10
-10	4.60E-10
0	2.80E-10
-11	4.60E-10
-12	4.80E-10
-13	4.80E-10
-14	4.80E-10
-15	4.90E-10
-14	4.60E-10
-13	4.40E-10
-12	4.20E-10
-11	4.00E-10
-10	3.70E-10
-9	3.50E-10
-8	3.20E-10
-7	3.00E-10
-6	2.70E-10
-5	2.60E-10
-4	2.40E-10
-3	2.20E-10
-2	2.10E-10
-1	2.00E-10
0	1.90E-10
1	1.60E-10
2	1.60E-10
3	1.60E-10
4	1.60E-10
5	1.60E-10
6	1.60E-10
7	1.60E-10
8	1.50E-10
9	1.50E-10
10	1.50E-10
11	1.50E-10
12	1.50E-10
13	1.50E-10
14	1.50E-10
15	1.50E-10
14	1.60E-10
13	1.60E-10
12	1.70E-10
11	1.80E-10
10	1.90E-10
9	2.00E-10
8	2.10E-10
7	2.30E-10
6	2.40E-10
5	2.50E-10
4	2.70E-10
3	2.80E-10
2	3.00E-10
1	3.10E-10
0	3.20E-10
