Vg	Ids
-1.499188000000000009e+01	3.001201999999999745e-08
-1.400087000000000081e+01	3.002847999999999679e-08
-1.300169999999999959e+01	2.996935000000000095e-08
-1.200103000000000009e+01	2.983884000000000198e-08
-1.100113999999999947e+01	2.972879000000000028e-08
-1.000130000000000052e+01	2.961876000000000164e-08
-9.001996999999999360e+00	2.949177999999999967e-08
-8.001421999999999812e+00	2.937510999999999866e-08
-7.000645999999999702e+00	2.921621999999999902e-08
-6.001603000000000243e+00	2.897706000000000126e-08
-5.000638000000000361e+00	2.879089000000000086e-08
-4.001398000000000010e+00	2.862583999999999966e-08
-3.000776000000000110e+00	2.834875000000000098e-08
-2.001240000000000130e+00	2.807416999999999840e-08
-1.000626999999999933e+00	2.775532999999999870e-08
1.237000000000000035e-03	2.736354000000000165e-08
9.991590000000000193e-01	2.707176999999999863e-08
1.999789999999999957e+00	2.654100999999999911e-08
2.998874999999999957e+00	2.603331999999999836e-08
3.999706999999999901e+00	2.542862000000000023e-08
4.998694000000000415e+00	2.472217999999999910e-08
5.999546999999999741e+00	2.398335999999999937e-08
6.998568999999999818e+00	2.313298999999999954e-08
7.999095999999999762e+00	2.217049999999999990e-08
8.999541999999999931e+00	2.115453999999999879e-08
9.998829000000000633e+00	2.006020999999999974e-08
1.099932000000000087e+01	1.899252999999999914e-08
1.199892999999999965e+01	1.776868999999999895e-08
1.299938000000000038e+01	1.665464000000000030e-08
1.399863999999999997e+01	1.551112000000000092e-08
1.499272000000000027e+01	1.603043999999999991e-08
1.400066999999999950e+01	1.457622999999999982e-08
1.300134000000000079e+01	1.432788000000000078e-08
1.200087000000000081e+01	1.427164999999999962e-08
1.100151999999999930e+01	1.443895999999999994e-08
1.000104999999999933e+01	1.469040999999999952e-08
9.001735000000000042e+00	1.500322999999999928e-08
8.001374999999999460e+00	1.537616999999999944e-08
7.000443999999999889e+00	1.589946000000000002e-08
6.001496000000000386e+00	1.652048999999999906e-08
5.000745000000000218e+00	1.729534999999999942e-08
4.001565000000000261e+00	1.820250000000000037e-08
3.000849000000000100e+00	1.924411999999999868e-08
2.001587999999999923e+00	2.036060000000000101e-08
1.000750999999999946e+00	2.139307000000000086e-08
9.959999999999999236e-04	2.244175999999999965e-08
-9.990949999999999553e-01	2.292104999999999996e-08
-1.999754999999999949e+00	2.386636999999999893e-08
-2.999012000000000011e+00	2.468936999999999908e-08
-3.999673000000000034e+00	2.534997999999999894e-08
-4.998916999999999611e+00	2.596485999999999961e-08
-5.999646000000000257e+00	2.645815999999999914e-08
-6.998831000000000024e+00	2.693913999999999885e-08
-7.999692999999999721e+00	2.738571000000000138e-08
-8.999743000000000492e+00	2.771785999999999883e-08
-9.999297000000000324e+00	2.812198999999999876e-08
-1.099958999999999953e+01	2.844574999999999847e-08
-1.199910999999999994e+01	2.881397999999999938e-08
-1.299943000000000026e+01	2.913897000000000076e-08
-1.399896000000000029e+01	2.941525999999999919e-08
