Vg	Ids
-2.997954999999999970e+01	2.147954999999999993e-08
-2.899981000000000009e+01	2.170315000000000068e-08
-2.800061000000000178e+01	2.182273999999999944e-08
-2.700043000000000148e+01	2.183852000000000039e-08
-2.600086999999999904e+01	2.183325000000000130e-08
-2.500058999999999898e+01	2.180090999999999891e-08
-2.400095999999999918e+01	2.183740000000000071e-08
-2.300037000000000020e+01	2.182029999999999919e-08
-2.199999000000000038e+01	2.175486000000000029e-08
-2.100033000000000172e+01	2.176579000000000038e-08
-2.000000000000000000e+01	2.174155999999999911e-08
-1.900099000000000160e+01	2.169798000000000038e-08
-1.799998000000000076e+01	2.170941000000000103e-08
-1.700084000000000017e+01	2.166457000000000101e-08
-1.600040999999999869e+01	2.164169999999999983e-08
-1.500107999999999997e+01	2.154731000000000053e-08
-1.400075999999999965e+01	2.149766999999999903e-08
-1.300121000000000038e+01	2.138986000000000000e-08
-1.200107000000000035e+01	2.133699000000000120e-08
-1.100168000000000035e+01	2.121673000000000062e-08
-1.000092000000000070e+01	2.121861000000000103e-08
-9.001082000000000249e+00	2.110773999999999932e-08
-8.000619999999999621e+00	2.111268999999999898e-08
-6.999869000000000341e+00	2.093135999999999957e-08
-6.000994000000000383e+00	2.079488000000000006e-08
-5.000136000000000358e+00	2.067713999999999876e-08
-4.001110999999999862e+00	2.059521000000000089e-08
-3.000493000000000077e+00	2.042952000000000081e-08
-2.001142000000000198e+00	2.031725999999999938e-08
-1.000571000000000099e+00	2.019789000000000127e-08
1.005000000000000034e-03	2.003003000000000099e-08
9.989019999999999566e-01	1.979174999999999920e-08
1.999265999999999988e+00	1.964731000000000006e-08
2.998746000000000134e+00	1.938967000000000093e-08
3.998981999999999815e+00	1.913226999999999891e-08
4.997956000000000287e+00	1.883059999999999989e-08
5.998762000000000150e+00	1.852350000000000040e-08
6.997676000000000229e+00	1.818139000000000105e-08
7.998431000000000068e+00	1.777662999999999882e-08
8.998893999999999949e+00	1.733024000000000074e-08
9.998189999999999245e+00	1.686298000000000043e-08
1.099884999999999913e+01	1.625147999999999856e-08
1.199853000000000058e+01	1.555798999999999954e-08
1.299868999999999986e+01	1.475234999999999942e-08
1.399839000000000055e+01	1.390943000000000043e-08
1.499887999999999977e+01	1.288043999999999983e-08
1.599831999999999965e+01	1.163710000000000069e-08
1.699884000000000128e+01	1.002571999999999999e-08
1.799777999999999878e+01	8.149359999999999660e-09
1.899829000000000079e+01	5.792922000000000109e-09
1.999763000000000090e+01	4.010185999999999742e-09
2.099801000000000073e+01	2.531606999999999983e-09
2.199736000000000047e+01	1.327074000000000085e-09
2.299780000000000157e+01	8.445212999999999962e-10
2.399839000000000055e+01	3.034149999999999805e-10
2.499771000000000143e+01	9.636296000000000645e-11
2.599793000000000021e+01	-9.262540999999999437e-11
2.699746999999999986e+01	-6.792641000000000036e-11
2.799774999999999991e+01	-7.288624999999999995e-11
2.899719999999999942e+01	-2.338688000000000142e-11
2.998241000000000156e+01	-2.315579000000000023e-10
2.900009999999999977e+01	-2.060324000000000138e-11
2.800061000000000178e+01	4.230849000000000121e-11
2.700028000000000006e+01	5.764410000000000234e-11
