Vg	Ids
-2.998104999999999976e+01	4.137206999999999732e-08
-2.900085999999999942e+01	3.661108000000000175e-08
-2.800137000000000143e+01	3.497664000000000052e-08
-2.700120000000000076e+01	3.389824999999999717e-08
-2.600159000000000020e+01	3.296227999999999756e-08
-2.500105999999999895e+01	3.187164000000000017e-08
-2.400153999999999854e+01	3.062410000000000223e-08
-2.300099000000000160e+01	2.929070000000000102e-08
-2.200062000000000140e+01	2.772082999999999928e-08
-2.100111000000000061e+01	2.614806999999999943e-08
-2.000087999999999866e+01	2.458701000000000028e-08
-1.900180999999999898e+01	2.307660000000000032e-08
-1.800125999999999848e+01	2.142008000000000158e-08
-1.700187000000000026e+01	1.996661000000000081e-08
-1.600131000000000014e+01	1.852619000000000093e-08
-1.500155999999999956e+01	1.710643999999999909e-08
-1.400084000000000017e+01	1.594117000000000152e-08
-1.300149000000000044e+01	1.460962999999999931e-08
-1.200109999999999921e+01	1.356440000000000002e-08
-1.100163000000000046e+01	1.237077999999999975e-08
-1.000131000000000014e+01	1.139599999999999994e-08
-9.002086999999999506e+00	1.045183000000000029e-08
-8.001713999999999771e+00	9.651418999999999425e-09
-7.001057999999999559e+00	8.919966000000000545e-09
-6.001710000000000100e+00	8.174363999999999504e-09
-5.000710999999999906e+00	7.509178000000000102e-09
-4.001401999999999681e+00	6.963738000000000381e-09
-3.000626000000000015e+00	6.408530999999999901e-09
-2.001202000000000147e+00	5.865110000000000233e-09
-1.000361000000000056e+00	5.464722000000000353e-09
9.659999999999999533e-04	5.054315999999999941e-09
9.988460000000000116e-01	4.693353999999999755e-09
1.999670000000000059e+00	4.318473999999999909e-09
2.998981999999999815e+00	4.076957000000000235e-09
3.999626000000000126e+00	3.732746999999999828e-09
4.998942999999999692e+00	3.483586999999999832e-09
5.999323999999999657e+00	3.203555000000000111e-09
6.998586000000000418e+00	2.996854999999999987e-09
7.999247000000000440e+00	2.805494999999999937e-09
8.999632000000000076e+00	2.619040999999999993e-09
9.998601999999999990e+00	2.402272999999999941e-09
1.099914000000000058e+01	2.258080000000000127e-09
1.199854999999999983e+01	2.126186999999999949e-09
1.299919000000000047e+01	1.948135999999999816e-09
1.399859999999999971e+01	1.829704999999999939e-09
1.499911999999999956e+01	1.573055000000000003e-09
1.599879999999999924e+01	1.584341000000000040e-09
1.699926999999999921e+01	1.484737999999999966e-09
1.799852999999999881e+01	1.394346000000000016e-09
1.899909999999999854e+01	1.278851000000000095e-09
1.999834999999999852e+01	1.210575999999999936e-09
2.099866000000000099e+01	1.128484000000000050e-09
2.199793999999999983e+01	1.001197000000000094e-09
2.299843999999999866e+01	9.334784999999999007e-10
2.399875000000000114e+01	8.874729000000000322e-10
2.499825999999999837e+01	7.179755999999999789e-10
2.599905000000000044e+01	6.767272000000000369e-10
2.699839000000000055e+01	5.570318000000000451e-10
2.799879999999999924e+01	5.070276000000000163e-10
2.899862999999999857e+01	4.601615000000000037e-10
2.998189999999999955e+01	8.840706000000000720e-12
2.900090000000000146e+01	1.300055999999999920e-09
2.800132999999999939e+01	2.019594999999999993e-09
2.700094999999999956e+01	2.767275000000000042e-09
2.600155000000000172e+01	3.605298000000000137e-09
2.500088999999999828e+01	4.455211000000000281e-09
2.400123999999999924e+01	5.315702000000000386e-09
2.300104999999999933e+01	6.214050999999999969e-09
2.200062000000000140e+01	7.140487000000000305e-09
2.100087999999999866e+01	8.051390000000000669e-09
2.000085999999999942e+01	8.998172999999999467e-09
1.900191999999999837e+01	9.864636000000000758e-09
1.800116999999999834e+01	1.075938999999999918e-08
1.700174000000000163e+01	1.174964000000000038e-08
1.600105999999999895e+01	1.266625999999999923e-08
