VG	IDS 10mv		
0	1.60E-09		
-1	2.40E-09		
-2	3.00E-09		
-3	3.50E-09		
-4	3.90E-09		
-5	4.30E-09		
-6	4.60E-09		
-7	4.80E-09		
-8	5.00E-09		
-9	5.20E-09		
-10	5.30E-09		
-11	5.50E-09		
-12	5.60E-09		
-13	5.70E-09		
-14	5.80E-09		
-15	5.90E-09		
-14	5.40E-09		
-13	5.00E-09		
-12	4.50E-09		
-11	3.80E-09		
-10	3.00E-09		
-9	2.20E-09		
-8	1.60E-09		
-7	1.10E-09		
-6	7.00E-10		
-5	5.00E-10		
-4	3.00E-10		
-3	2.00E-10		
-2	1.00E-10		
-1	5.00E-11		
0	1.00E-10		
1	1.00E-10		
2	1.00E-10		
3	1.00E-10		
4	1.00E-10		
5	1.00E-10		
6	1.00E-10		
7	1.00E-10		
8	1.40E-10		
9	1.40E-10		
10	1.40E-10		
11	1.40E-10		
12	1.40E-10		
13	1.40E-10		
14	1.40E-10		
15	2.00E-10		
14	2.00E-10		
13	1.50E-10		
12	1.30E-10		
11	5.00E-11		
10	1.20E-10		
9	5.00E-10		
8	9.00E-10		
7	1.20E-09		
6	1.70E-09		
5	2.00E-09		
4	2.50E-09		
3	2.80E-09		
2	3.20E-09		
1	3.50E-09		
0	3.90E-09		
