VG	IDS 100mv	
0	3.25E+01	3.25E-08
-1	3.78E+01	3.78E-08
-2	4.20E+01	4.20E-08
-3	4.51E+01	4.51E-08
-4	4.81E+01	4.81E-08
-5	5.00E+01	5.00E-08
-6	5.23E+01	5.23E-08
-7	5.30E+01	5.30E-08
-8	5.48E+01	5.48E-08
-9	5.69E+01	5.69E-08
-10	5.70E+01	5.70E-08
-11	5.80E+01	5.80E-08
-12	5.90E+01	5.90E-08
-13	5.90E+01	5.90E-08
-14	6.00E+01	6.00E-08
-15	6.00E+01	6.00E-08
-14	5.56E+01	5.56E-08
-13	5.19E+01	5.19E-08
-12	4.73E+01	4.73E-08
-11	4.10E+01	4.10E-08
-10	3.20E+01	3.20E-08
-9	2.50E+01	2.50E-08
-8	1.80E+01	1.80E-08
-7	1.35E+01	1.35E-08
-6	1.00E+01	1.00E-08
-5	7.00E+00	7.00E-09
-4	5.00E+00	5.00E-09
-3	3.30E+00	3.30E-09
-2	2.10E+00	2.10E-09
-1	1.20E+00	1.20E-09
0	2.00E-01	2.00E-10
1	1.00E-01	1.00E-10
2	1.00E-01	1.00E-10
3	1.00E-01	1.00E-10
4	1.00E-01	1.00E-10
5	1.00E-01	1.00E-10
6	1.00E-01	1.00E-10
7	1.00E-01	1.00E-10
8	1.00E-01	1.00E-10
9	1.00E-01	1.00E-10
10	1.00E-01	1.00E-10
11	1.00E-01	1.00E-10
12	2.00E-01	2.00E-10
13	2.00E-01	2.00E-10
14	1.40E+00	1.40E-09
15	1.50E+00	1.50E-09
14	2.00E-01	2.00E-10
13	1.50E-01	1.50E-10
12	1.50E-01	1.50E-10
11	1.00E+00	1.00E-09
10	3.00E+00	3.00E-09
9	6.00E+00	6.00E-09
8	9.50E+00	9.50E-09
7	1.32E+01	1.32E-08
6	1.73E+01	1.73E-08
5	2.14E+01	2.14E-08
4	2.54E+01	2.54E-08
3	2.93E+01	2.93E-08
2	3.25E+01	3.25E-08
1	3.63E+01	3.63E-08
0	3.90E+01	3.90E-08
