Vg	Ids
-1.499239000000000033e+01	4.056849999999999696e-09
-1.400059000000000076e+01	4.021977999999999984e-09
-1.300136999999999965e+01	3.978857999999999827e-09
-1.200098000000000020e+01	3.968077000000000090e-09
-1.100173999999999985e+01	3.936547999999999795e-09
-1.000112999999999985e+01	3.912254999999999949e-09
-9.001580000000000581e+00	3.866959000000000150e-09
-8.001082999999999501e+00	3.823736999999999738e-09
-7.000250999999999557e+00	3.786034000000000039e-09
-6.001153000000000404e+00	3.821055000000000098e-09
-5.000766999999999740e+00	3.757491000000000337e-09
-4.001384999999999970e+00	3.774594999999999827e-09
-3.000720999999999972e+00	3.723579000000000176e-09
-2.001240000000000130e+00	3.683142999999999882e-09
-1.000288000000000066e+00	3.630406000000000047e-09
1.095000000000000053e-03	3.686534000000000124e-09
9.989879999999999871e-01	3.370626999999999842e-09
1.999527999999999972e+00	3.351192000000000105e-09
2.998870999999999842e+00	3.297545000000000114e-09
3.999595999999999929e+00	3.225122999999999845e-09
4.998594999999999899e+00	3.159330999999999996e-09
5.999024000000000356e+00	3.076785000000000145e-09
6.998088000000000086e+00	2.970151000000000035e-09
7.998972000000000193e+00	2.867107999999999815e-09
8.999262999999999124e+00	2.730564000000000167e-09
9.998601999999999990e+00	2.612540000000000162e-09
1.099935999999999936e+01	2.371788999999999822e-09
1.199869999999999948e+01	2.215203999999999995e-09
1.299919000000000047e+01	2.082200000000000110e-09
1.399860999999999933e+01	1.927839999999999828e-09
1.499114999999999931e+01	1.861439999999999933e-09
1.400027000000000044e+01	1.839374000000000063e-09
1.300135000000000041e+01	1.849241999999999930e-09
1.200093000000000032e+01	1.824090000000000057e-09
1.100179999999999936e+01	1.875356999999999896e-09
1.000103000000000009e+01	1.935178000000000118e-09
9.001640000000000086e+00	1.997427999999999981e-09
8.001328000000000884e+00	2.087918000000000151e-09
7.000783000000000200e+00	2.178407999999999908e-09
6.001462000000000074e+00	2.311614000000000079e-09
5.000568999999999598e+00	2.507472999999999950e-09
4.001358999999999888e+00	2.716542999999999932e-09
3.000652000000000097e+00	2.947984000000000022e-09
2.001262000000000096e+00	3.143487000000000148e-09
1.000613999999999892e+00	3.293594999999999937e-09
1.142000000000000003e-03	3.369055000000000005e-09
-9.988329999999999709e-01	3.397040000000000090e-09
-1.999317999999999929e+00	3.494363999999999949e-09
-2.998781000000000141e+00	3.546794999999999848e-09
-3.999500999999999973e+00	3.579843999999999948e-09
-4.998617000000000310e+00	3.652215999999999995e-09
-5.999109999999999943e+00	3.684503999999999874e-09
-6.998675999999999675e+00	3.693918000000000189e-09
-7.999361999999999639e+00	3.754802000000000120e-09
-8.999665999999999499e+00	3.769832000000000223e-09
-9.999074000000000240e+00	3.813963000000000057e-09
-1.099939999999999962e+01	3.836231999999999911e-09
-1.199882000000000026e+01	3.885069000000000204e-09
-1.299914000000000058e+01	3.893827000000000268e-09
-1.399826999999999977e+01	3.934616000000000178e-09
