Vg	Ids
-1.499151999999999951e+01	1.260268999999999921e-09
-1.399970000000000070e+01	1.146148000000000001e-09
-1.300012000000000079e+01	1.116794999999999968e-09
-1.199965000000000082e+01	1.113961000000000058e-09
-1.100051000000000023e+01	1.095892999999999950e-09
-1.000018000000000029e+01	1.084455999999999962e-09
-9.000880999999999688e+00	1.036681000000000093e-09
-8.000203000000000841e+00	1.038452000000000086e-09
-6.999367000000000338e+00	1.036579999999999950e-09
-6.000466000000000300e+00	1.013047000000000007e-09
-4.999990000000000379e+00	9.984210000000000618e-10
-4.000582999999999778e+00	1.026610000000000036e-09
-2.999858000000000136e+00	9.659813000000000089e-10
-2.000236000000000125e+00	9.941705000000000464e-10
-9.996570000000000178e-01	9.659307000000000091e-10
3.829999999999999854e-04	9.282272999999999757e-10
9.984600000000000142e-01	9.326303000000000070e-10
1.999112000000000000e+00	8.748351999999999694e-10
2.998184000000000182e+00	9.310108999999999495e-10
3.998483999999999927e+00	8.721027000000000515e-10
4.997823000000000349e+00	8.328304000000000319e-10
5.998568999999999818e+00	8.466470999999999724e-10
6.998109999999999609e+00	7.466440999999999818e-10
7.998431000000000068e+00	7.451253999999999713e-10
8.998837999999999226e+00	7.038293000000000233e-10
9.997961999999999350e+00	6.670871999999999543e-10
1.099840000000000018e+01	6.078754999999999860e-10
1.199788000000000032e+01	5.276104999999999535e-10
1.299854000000000021e+01	4.837329000000000388e-10
1.399812999999999974e+01	3.928906999999999903e-10
1.499019999999999975e+01	3.281118000000000229e-10
1.399996999999999936e+01	3.747222999999999830e-10
1.300037999999999982e+01	3.219375000000000063e-10
1.199975000000000058e+01	3.259356999999999873e-10
1.100037999999999982e+01	3.589830999999999905e-10
1.000010999999999939e+01	4.148547999999999993e-10
9.000918999999999670e+00	4.461813999999999850e-10
8.000439999999999330e+00	4.950184000000000201e-10
6.999439999999999884e+00	5.592407000000000414e-10
6.000286000000000008e+00	6.342927999999999502e-10
4.999929999999999986e+00	7.039811999999999512e-10
4.000633999999999801e+00	7.513505000000000515e-10
2.999746000000000024e+00	8.183563000000000147e-10
2.000274999999999803e+00	8.564644000000000146e-10
9.996140000000000025e-01	9.302513999999999998e-10
4.560000000000000251e-04	9.552016000000000653e-10
-9.984600000000000142e-01	1.010517000000000017e-09
-1.999012999999999929e+00	1.021094000000000072e-09
-2.998076999999999881e+00	1.047309000000000069e-09
-3.998514000000000124e+00	1.082885999999999935e-09
-4.997574000000000183e+00	1.086632000000000017e-09
-5.998693000000000275e+00	1.121651999999999964e-09
-6.997989999999999711e+00	1.121854999999999948e-09
-7.998593999999999760e+00	1.147766999999999931e-09
-8.998753000000000668e+00	1.182940000000000053e-09
-9.997966999999999160e+00	1.225451000000000052e-09
-1.099858000000000047e+01	1.244783000000000043e-09
-1.199796000000000085e+01	1.253995000000000073e-09
-1.299846999999999930e+01	1.279804000000000102e-09
-1.399798000000000009e+01	1.272669000000000002e-09
