Vg	Ids
-1.998771999999999949e+01	3.555801999999999877e-09
-1.900123999999999924e+01	3.187722999999999953e-09
-1.800082000000000093e+01	3.008262999999999830e-09
-1.700113999999999947e+01	2.802234000000000190e-09
-1.600053000000000125e+01	2.543116000000000175e-09
-1.500084000000000017e+01	2.218863999999999959e-09
-1.400057999999999936e+01	1.882920999999999851e-09
-1.300122999999999962e+01	1.536502999999999941e-09
-1.200087000000000081e+01	1.244185999999999988e-09
-1.100145999999999979e+01	9.614333000000000780e-10
-1.000067999999999913e+01	7.543920000000000353e-10
-9.001405000000000101e+00	5.985670000000000073e-10
-8.000854999999999606e+00	5.171877999999999705e-10
-7.000233999999999845e+00	3.404612999999999811e-10
-6.001316000000000095e+00	2.547803000000000161e-10
-5.000774999999999970e+00	2.083689999999999915e-10
-4.001384999999999970e+00	1.152406000000000048e-10
-3.000574999999999992e+00	8.755509000000000190e-11
-2.000931000000000015e+00	3.532200999999999764e-11
-1.000442000000000053e+00	-7.749829000000000541e-12
5.969999999999999829e-04	-8.032921999999999767e-11
9.984730000000000549e-01	-1.074578999999999992e-10
1.999171999999999949e+00	-1.398503000000000056e-10
2.998505999999999894e+00	-1.953732000000000052e-10
3.999111000000000082e+00	-1.789747000000000024e-10
4.998345999999999734e+00	-2.048884999999999899e-10
5.999122999999999983e+00	-2.262979999999999924e-10
6.998414999999999608e+00	-2.502882999999999969e-10
7.999203999999999759e+00	-2.792395000000000054e-10
8.999568000000000012e+00	-2.981184999999999875e-10
9.999078000000000799e+00	-3.105691000000000169e-10
1.099915000000000020e+01	-3.498956999999999749e-10
1.199901999999999980e+01	-3.428604000000000168e-10
1.299957000000000029e+01	-3.730261000000000008e-10
1.399867000000000061e+01	-3.884629000000000152e-10
1.499929000000000023e+01	-4.127570999999999849e-10
1.599862000000000073e+01	-4.275363000000000139e-10
1.699902000000000157e+01	-4.484903999999999922e-10
1.799860999999999933e+01	-4.708106000000000368e-10
1.899904000000000082e+01	-4.869058000000000331e-10
1.998736999999999853e+01	-7.455395999999999677e-10
1.900113999999999947e+01	-4.533491999999999941e-10
1.800072000000000116e+01	-4.246006999999999770e-10
1.700137000000000143e+01	-3.976743000000000088e-10
1.600097999999999843e+01	-3.739874999999999971e-10
1.500136999999999965e+01	-3.492876000000000006e-10
1.400087000000000081e+01	-3.299538000000000047e-10
1.300162000000000084e+01	-3.064185999999999804e-10
1.200098000000000020e+01	-2.876405999999999859e-10
1.100173000000000023e+01	-2.604112000000000034e-10
1.000107999999999997e+01	-2.377363000000000076e-10
9.001314000000000703e+00	-2.042304000000000002e-10
8.001101000000000241e+00	-1.486571000000000129e-10
7.000204000000000093e+00	-5.876796000000000599e-11
6.001191000000000386e+00	4.792496000000000141e-11
5.000371999999999595e+00	2.248183000000000063e-10
4.001025000000000276e+00	4.877838000000000170e-10
3.000582999999999778e+00	6.265028999999999501e-10
2.001112000000000002e+00	8.860763999999999947e-10
1.000553999999999943e+00	1.159414999999999971e-09
8.760000000000000425e-04	1.394138999999999998e-09
-9.987169999999999659e-01	1.473139999999999940e-09
-1.999163000000000023e+00	1.668744000000000002e-09
-2.998600000000000154e+00	1.884287000000000195e-09
-3.999089000000000116e+00	2.146137000000000072e-09
-4.998338000000000392e+00	2.384707999999999909e-09
-5.999080000000000190e+00	2.637398000000000202e-09
-6.998414999999999608e+00	2.834012999999999941e-09
-7.999247000000000440e+00	3.042472999999999860e-09
-8.999594000000000094e+00	3.235999000000000087e-09
-9.999005000000000365e+00	3.446939000000000188e-09
-1.099930999999999948e+01	3.628421999999999984e-09
-1.199896000000000029e+01	3.724428999999999816e-09
-1.299920999999999971e+01	3.958445999999999671e-09
-1.399863000000000035e+01	4.073731000000000064e-09
-1.499919000000000047e+01	4.288667999999999608e-09
-1.599867000000000061e+01	4.450818999999999827e-09
-1.699878999999999962e+01	4.612057000000000176e-09
-1.799820000000000064e+01	4.763428999999999640e-09
-1.899897999999999954e+01	4.909488000000000366e-09
