Vg	Ids
-9.993048999999999182e+00	3.307360999999999949e-09
-9.001253999999999422e+00	2.839884999999999856e-09
-8.001160999999999746e+00	2.710022999999999835e-09
-7.000537999999999705e+00	2.387896999999999866e-09
-6.001224999999999810e+00	2.116024999999999835e-09
-5.000487999999999822e+00	1.882718000000000074e-09
-4.001317000000000235e+00	1.606190999999999918e-09
-3.000471999999999806e+00	1.398745000000000012e-09
-2.001081000000000110e+00	1.194689999999999935e-09
-1.000674000000000063e+00	1.035220000000000071e-09
1.129000000000000012e-03	1.882111000000000140e-09
9.991160000000000041e-01	3.550537999999999801e-09
1.999651999999999985e+00	3.100673999999999833e-09
2.998562000000000172e+00	2.861850999999999902e-09
3.999639000000000166e+00	2.610324000000000177e-09
4.998681000000000374e+00	2.484459999999999918e-09
5.998972000000000193e+00	2.174075000000000064e-09
6.998109999999999609e+00	1.945221999999999841e-09
7.998795999999999573e+00	1.710345999999999958e-09
8.999173000000000755e+00	1.475821999999999993e-09
9.993919999999999249e+00	7.234190999999999922e-10
9.001438999999999524e+00	1.437158000000000012e-09
8.000980000000000203e+00	1.718037000000000072e-09
7.000430999999999848e+00	1.932164000000000112e-09
6.001290000000000013e+00	2.144062999999999858e-09
5.000289999999999679e+00	2.306720999999999980e-09
4.001063000000000258e+00	2.509004999999999857e-09
3.000360000000000138e+00	2.706326999999999975e-09
2.000977999999999923e+00	2.878350000000000095e-09
1.000464000000000020e+00	3.002087000000000202e-09
8.679999999999999565e-04	3.199259999999999972e-09
-9.987519999999999731e-01	2.124781000000000089e-09
-1.999231999999999898e+00	2.204289000000000142e-09
-2.998613000000000195e+00	2.375903000000000165e-09
-3.999042000000000208e+00	2.547568999999999808e-09
-4.998332999999999693e+00	2.725104999999999969e-09
-5.999190999999999718e+00	2.883711000000000073e-09
-6.998225999999999836e+00	3.033262000000000149e-09
-7.998908000000000129e+00	3.213988000000000172e-09
-8.999181999999999348e+00	3.366372000000000046e-09
