VG, VDS, ID, IG
-10.0, 0.1, 6.1361e-08, -6.6884e-09
-9.8, 0.1, 6.0544e-08, -5.3854e-09
-9.6, 0.1, 5.9712e-08, -4.4237e-09
-9.4, 0.1, 5.8945e-08, -3.8748e-09
-9.2, 0.1, 5.8248e-08, -3.4755e-09
-9.0, 0.1, 5.757e-08, -3.1686e-09
-8.8, 0.1, 5.6932e-08, -2.9207e-09
-8.6, 0.1, 5.6167e-08, -2.7069e-09
-8.4, 0.1, 5.5342e-08, -2.5283e-09
-8.2, 0.1, 5.4675e-08, -2.3852e-09
-8.0, 0.1, 5.3718e-08, -2.2172e-09
-7.8, 0.1, 5.3075e-08, -2.0802e-09
-7.6, 0.1, 5.2296e-08, -1.9985e-09
-7.4, 0.1, 5.1297e-08, -1.8932e-09
-7.2, 0.1, 5.0394e-08, -1.7889e-09
-7.0, 0.1, 4.9631e-08, -1.6889e-09
-6.8, 0.1, 4.8695e-08, -1.5959e-09
-6.6, 0.1, 4.7527e-08, -1.5107e-09
-6.4, 0.1, 4.6554e-08, -1.4261e-09
-6.2, 0.1, 4.546e-08, -1.3541e-09
-6.0, 0.1, 4.4343e-08, -1.2843e-09
-5.8, 0.1, 4.3098e-08, -1.2075e-09
-5.6, 0.1, 4.1945e-08, -1.1586e-09
-5.4, 0.1, 4.0705e-08, -1.0965e-09
-5.2, 0.1, 3.931e-08, -1.035e-09
-5.0, 0.1, 3.7778e-08, -9.6454e-10
-4.8, 0.1, 3.6506e-08, -9.1321e-10
-4.6, 0.1, 3.4771e-08, -8.6327e-10
-4.4, 0.1, 3.3141e-08, -8.1536e-10
-4.2, 0.1, 3.1495e-08, -7.5303e-10
-4.0, 0.1, 2.9792e-08, -7.0699e-10
-3.8, 0.1, 2.7827e-08, -6.522e-10
-3.6, 0.1, 2.5897e-08, -5.9754e-10
-3.4, 0.1, 2.3768e-08, -5.4629e-10
-3.2, 0.1, 2.1763e-08, -4.9894e-10
-3.0, 0.1, 1.9749e-08, -4.5345e-10
-2.8, 0.1, 1.7898e-08, -4.0061e-10
-2.6, 0.1, 1.5982e-08, -3.488e-10
-2.4, 0.1, 1.4322e-08, -3.1532e-10
-2.2, 0.1, 1.2259e-08, -2.6109e-10
-2.0, 0.1, 1.0641e-08, -2.2254e-10
-1.8, 0.1, 8.9534e-09, -1.8802e-10
-1.6, 0.1, 7.6842e-09, -1.38e-10
-1.4, 0.1, 6.6106e-09, -1.0206e-10
-1.2, 0.1, 5.5976e-09, -4.467e-11
-1.0, 0.1, 4.8116e-09, -5.59e-12
-0.8, 0.1, 3.7652e-09, 2.234e-11
-0.6, 0.1, 2.8894e-09, 5.924e-11
-0.4, 0.1, 2.0142e-09, 9.407e-11
-0.2, 0.1, 1.3339e-09, 1.3064e-10
0.0, 0.1, 7.6995e-10, 1.5485e-10
0.2, 0.1, 3.4338e-10, 1.9281e-10
0.4, 0.1, 3.9839e-10, 2.3344e-10
0.6, 0.1, 2.3747e-10, 2.9042e-10
0.8, 0.1, 1.1859e-10, 3.4227e-10
1.0, 0.1, 1.1704e-10, 3.8549e-10
1.2, 0.1, 8.8615e-11, 2.9671e-10
1.4, 0.1, 3.5112e-11, 3.0285e-10
1.6, 0.1, 6.2372e-11, 3.2035e-10
1.8, 0.1, 1.116e-10, 3.5646e-10
2.0, 0.1, 1.0958e-10, 4.5541e-10
2.2, 0.1, 3.0014e-11, 4.5219e-10
2.4, 0.1, 2.3442e-11, 4.927e-10
2.6, 0.1, 2.5827e-11, 5.3929e-10
2.8, 0.1, 1.7151e-11, 5.8137e-10
3.0, 0.1, 1.1455e-11, 5.9873e-10
3.2, 0.1, 7.958e-12, 6.4743e-10
3.4, 0.1, 8.108e-12, 6.7504e-10
3.6, 0.1, 4.661e-12, 7.1349e-10
3.8, 0.1, 6.224e-12, 7.6215e-10
4.0, 0.1, 4.328e-12, 8.0988e-10
4.2, 0.1, 4.917e-12, 8.5195e-10
4.4, 0.1, 5.072e-12, 8.9956e-10
4.6, 0.1, 4.156e-12, 9.5318e-10
4.8, 0.1, 3.837e-12, 9.9845e-10
5.0, 0.1, 3.598e-12, 1.0438e-09
5.2, 0.1, 3.804e-12, 1.0919e-09
5.4, 0.1, 2.94e-12, 1.1401e-09
5.6, 0.1, 2.699e-12, 1.1917e-09
5.8, 0.1, 2.764e-12, 1.2386e-09
6.0, 0.1, 2.534e-12, 1.2874e-09
6.2, 0.1, 2.795e-12, 1.3294e-09
6.4, 0.1, 2.731e-12, 1.3828e-09
6.6, 0.1, 2.312e-12, 1.4323e-09
6.8, 0.1, 2.321e-12, 1.4794e-09
7.0, 0.1, 2.247e-12, 1.5262e-09
7.2, 0.1, 1.919e-12, 1.5749e-09
7.4, 0.1, 1.907e-12, 1.6221e-09
7.6, 0.1, 2.359e-12, 1.6715e-09
7.8, 0.1, 2.408e-12, 1.7213e-09
8.0, 0.1, 2.211e-12, 1.7695e-09
8.2, 0.1, 1.936e-12, 1.8135e-09
8.4, 0.1, 2.004e-12, 1.8632e-09
8.6, 0.1, 2.201e-12, 1.9092e-09
8.8, 0.1, 2.49e-12, 1.9558e-09
9.0, 0.1, 2.152e-12, 2.0033e-09
9.2, 0.1, 1.985e-12, 2.0514e-09
9.4, 0.1, 2.36e-12, 2.1066e-09
9.6, 0.1, 2.277e-12, 2.149e-09
9.8, 0.1, 2.495e-12, 2.1938e-09
10.0, 0.1, 2.245e-12, 2.2419e-09
10.0, 0.1, 2.434e-12, 2.2296e-09
9.8, 0.1, 2.256e-12, 2.1625e-09
9.6, 0.1, 2.147e-12, 2.1018e-09
9.4, 0.1, 1.876e-12, 2.04e-09
9.2, 0.1, 2.21e-12, 1.9833e-09
9.0, 0.1, 3.172e-12, 1.9309e-09
8.8, 0.1, 4.007e-12, 1.873e-09
8.6, 0.1, 6.121e-12, 1.8201e-09
8.4, 0.1, 1.247e-11, 1.7589e-09
8.2, 0.1, 2.2281e-11, 1.7007e-09
8.0, 0.1, 5.237e-11, 1.6495e-09
7.8, 0.1, 7.6622e-11, 1.5947e-09
7.6, 0.1, 1.15e-10, 1.5506e-09
7.4, 0.1, 1.5636e-10, 1.4373e-09
7.2, 0.1, 2.0526e-10, 1.337e-09
7.0, 0.1, 3.0258e-10, 1.2575e-09
