VG, VDS, ID, IG
-10.0, 0.1, 7.3586e-08, -7.2951e-09
-9.8, 0.1, 7.1353e-08, -5.9124e-09
-9.6, 0.1, 6.9744e-08, -5.0029e-09
-9.4, 0.1, 6.8266e-08, -4.4126e-09
-9.2, 0.1, 6.7181e-08, -3.9612e-09
-9.0, 0.1, 6.5816e-08, -3.577e-09
-8.8, 0.1, 6.4546e-08, -3.2589e-09
-8.6, 0.1, 6.3085e-08, -2.9913e-09
-8.4, 0.1, 6.2039e-08, -2.787e-09
-8.2, 0.1, 6.0699e-08, -2.6008e-09
-8.0, 0.1, 5.9244e-08, -2.4388e-09
-7.8, 0.1, 5.7976e-08, -2.2975e-09
-7.6, 0.1, 5.6563e-08, -2.1698e-09
-7.4, 0.1, 5.502e-08, -2.0517e-09
-7.2, 0.1, 5.3247e-08, -1.9517e-09
-7.0, 0.1, 5.1528e-08, -1.8454e-09
-6.8, 0.1, 4.9777e-08, -1.7506e-09
-6.6, 0.1, 4.7836e-08, -1.6423e-09
-6.4, 0.1, 4.5874e-08, -1.5596e-09
-6.2, 0.1, 4.3752e-08, -1.4795e-09
-6.0, 0.1, 4.1596e-08, -1.4767e-09
-5.8, 0.1, 3.93e-08, -1.33e-09
-5.6, 0.1, 3.6851e-08, -1.293e-09
-5.4, 0.1, 3.4504e-08, -1.1862e-09
-5.2, 0.1, 3.1878e-08, -1.0865e-09
-5.0, 0.1, 2.933e-08, -1.016e-09
-4.8, 0.1, 2.7092e-08, -9.475e-10
-4.6, 0.1, 2.4481e-08, -8.481e-10
-4.4, 0.1, 2.2171e-08, -8.1243e-10
-4.2, 0.1, 1.9883e-08, -7.7905e-10
-4.0, 0.1, 1.7619e-08, -7.0977e-10
-3.8, 0.1, 1.5085e-08, -6.3992e-10
-3.6, 0.1, 1.2983e-08, -6.1735e-10
-3.4, 0.1, 1.0212e-08, -5.2628e-10
-3.2, 0.1, 8.5925e-09, -5.1057e-10
-3.0, 0.1, 6.8181e-09, -4.5202e-10
-2.8, 0.1, 5.5882e-09, -3.8676e-10
-2.6, 0.1, 4.5377e-09, -3.2873e-10
-2.4, 0.1, 3.491e-09, -2.767e-10
-2.2, 0.1, 2.69e-09, -2.1097e-10
-2.0, 0.1, 2.3167e-09, -1.464e-10
-1.8, 0.1, 1.8563e-09, -1.0646e-10
-1.6, 0.1, 1.6918e-09, -6.97e-11
-1.4, 0.1, 1.4746e-09, -3.584e-11
-1.2, 0.1, 1.2197e-09, -6.99e-12
-1.0, 0.1, 9.8388e-10, 2.281e-11
-0.8, 0.1, 7.7207e-10, 3.788e-11
-0.6, 0.1, 6.667e-10, 7.33e-11
-0.4, 0.1, 6.5342e-10, 1.0574e-10
-0.2, 0.1, 4.5813e-10, 1.3937e-10
0.0, 0.1, 4.8466e-10, 1.8773e-10
0.2, 0.1, 3.6522e-10, 2.4937e-10
0.4, 0.1, 3.0878e-10, 2.9773e-10
0.6, 0.1, 2.9955e-10, 3.5296e-10
0.8, 0.1, 1.9913e-10, 4.1706e-10
1.0, 0.1, 1.6352e-10, 4.7358e-10
1.2, 0.1, 1.744e-10, 5.0646e-10
1.4, 0.1, 1.5376e-10, 5.4181e-10
1.6, 0.1, 1.6852e-10, 5.7702e-10
1.8, 0.1, 1.27e-10, 5.9991e-10
2.0, 0.1, 1.5616e-10, 6.226e-10
2.2, 0.1, 1.4224e-10, 6.8525e-10
2.4, 0.1, 1.5197e-10, 7.4229e-10
2.6, 0.1, 1.7527e-10, 8.0627e-10
2.8, 0.1, 1.2989e-10, 8.685e-10
3.0, 0.1, 1.2845e-10, 9.2447e-10
3.2, 0.1, 1.4255e-10, 9.7963e-10
3.4, 0.1, 1.2746e-10, 1.0409e-09
3.6, 0.1, 1.2521e-10, 1.0948e-09
3.8, 0.1, 1.3056e-10, 1.1434e-09
4.0, 0.1, 1.2891e-10, 1.2252e-09
4.2, 0.1, 1.2042e-10, 1.2932e-09
4.4, 0.1, 1.0712e-10, 1.3285e-09
4.6, 0.1, 1.2327e-10, 1.3956e-09
4.8, 0.1, 1.0949e-10, 1.4399e-09
5.0, 0.1, 1.2283e-10, 1.4869e-09
5.2, 0.1, 9.493e-11, 1.5377e-09
5.4, 0.1, 1.1447e-10, 1.5891e-09
5.6, 0.1, 6.3532e-11, 1.4824e-09
5.8, 0.1, 5.1549e-11, 1.4955e-09
6.0, 0.1, 6.8108e-11, 1.5242e-09
6.2, 0.1, 5.3834e-11, 1.5599e-09
6.4, 0.1, 5.2978e-11, 1.6018e-09
6.6, 0.1, 4.8707e-11, 1.6451e-09
6.8, 0.1, 4.454e-11, 1.6648e-09
7.0, 0.1, 4.456e-11, 1.7106e-09
7.2, 0.1, 4.069e-11, 1.746e-09
7.4, 0.1, 4.7883e-11, 1.7806e-09
7.6, 0.1, 5.0055e-11, 1.8125e-09
7.8, 0.1, 4.1808e-11, 1.8347e-09
8.0, 0.1, 4.536e-11, 1.8574e-09
8.2, 0.1, 4.2798e-11, 1.8862e-09
8.4, 0.1, 3.9538e-11, 1.9261e-09
8.6, 0.1, 3.7189e-11, 1.9676e-09
8.8, 0.1, 3.9591e-11, 2.0081e-09
9.0, 0.1, 3.8424e-11, 2.056e-09
9.2, 0.1, 3.9939e-11, 2.0945e-09
9.4, 0.1, 3.3221e-11, 2.1394e-09
9.6, 0.1, 3.8488e-11, 2.185e-09
9.8, 0.1, 3.6467e-11, 2.2281e-09
10.0, 0.1, 4.0018e-11, 2.2762e-09
10.0, 0.1, 3.5516e-11, 2.2644e-09
9.8, 0.1, 3.9101e-11, 2.1936e-09
9.6, 0.1, 3.6359e-11, 2.1279e-09
9.4, 0.1, 4.319e-11, 2.0666e-09
9.2, 0.1, 5.6211e-11, 2.0026e-09
9.0, 0.1, 5.8475e-11, 1.945e-09
8.8, 0.1, 8.9269e-11, 1.8864e-09
8.6, 0.1, 1.3113e-10, 1.7977e-09
8.4, 0.1, 2.0868e-10, 1.7109e-09
8.2, 0.1, 4.4014e-10, 1.639e-09
8.0, 0.1, 7.2473e-10, 1.5653e-09
7.8, 0.1, 1.0522e-09, 1.4737e-09
7.6, 0.1, 1.5642e-09, 1.366e-09
7.4, 0.1, 1.9491e-09, 1.3071e-09
7.2, 0.1, 2.4481e-09, 1.2204e-09
7.0, 0.1, 3.1702e-09, 1.1378e-09
6.8, 0.1, 3.6877e-09, 1.0952e-09
6.6, 0.1, 4.3529e-09, 1.0431e-09
6.4, 0.1, 4.9495e-09, 9.9121e-10
6.2, 0.1, 5.8567e-09, 9.3883e-10
6.0, 0.1, 6.6718e-09, 8.8307e-10
5.8, 0.1, 7.6308e-09, 8.3164e-10
5.6, 0.1, 8.4987e-09, 7.7959e-10
5.4, 0.1, 9.4407e-09, 7.2549e-10
5.2, 0.1, 1.0237e-08, 6.9119e-10
5.0, 0.1, 1.1332e-08, 6.3141e-10
4.8, 0.1, 1.2298e-08, 5.7901e-10
4.6, 0.1, 1.3309e-08, 5.3326e-10
4.4, 0.1, 1.4246e-08, 4.8376e-10
4.2, 0.1, 1.5495e-08, 4.4691e-10
4.0, 0.1, 1.6551e-08, 3.9251e-10
3.8, 0.1, 1.7771e-08, 3.3862e-10
3.6, 0.1, 1.9064e-08, 2.8862e-10
3.4, 0.1, 2.0217e-08, 2.5871e-10
3.2, 0.1, 2.1295e-08, 2.1294e-10
3.0, 0.1, 2.2486e-08, 1.7618e-10
2.8, 0.1, 2.3635e-08, 1.3499e-10
2.6, 0.1, 2.4828e-08, 9.409e-11
2.4, 0.1, 2.6002e-08, 5.151e-11
2.2, 0.1, 2.7215e-08, 8.68e-12
2.0, 0.1, 2.8272e-08, -3.482e-11
1.8, 0.1, 2.9544e-08, -8.734e-11
1.6, 0.1, 3.0666e-08, -1.2611e-10
1.4, 0.1, 3.1875e-08, -1.929e-10
1.2, 0.1, 3.3087e-08, -2.2922e-10
1.0, 0.1, 3.4166e-08, -2.7691e-10
0.8, 0.1, 3.5275e-08, -3.24e-10
0.6, 0.1, 3.6305e-08, -3.8544e-10
0.4, 0.1, 3.736e-08, -4.4171e-10
0.2, 0.1, 3.8533e-08, -5.187e-10
0.0, 0.1, 3.9658e-08, -6.0147e-10
-0.2, 0.1, 4.0695e-08, -6.2724e-10
-0.4, 0.1, 4.1703e-08, -6.7001e-10
-0.6, 0.1, 4.2509e-08, -7.2237e-10
-0.8, 0.1, 4.3835e-08, -7.7108e-10
-1.0, 0.1, 4.4569e-08, -8.2223e-10
-1.2, 0.1, 4.5651e-08, -8.917e-10
-1.4, 0.1, 4.6853e-08, -9.7182e-10
-1.6, 0.1, 4.7718e-08, -9.9654e-10
-1.8, 0.1, 4.8742e-08, -1.0342e-09
-2.0, 0.1, 4.9607e-08, -1.0806e-09
-2.2, 0.1, 5.0525e-08, -1.1266e-09
-2.4, 0.1, 5.1361e-08, -1.1875e-09
-2.6, 0.1, 5.2472e-08, -1.2792e-09
-2.8, 0.1, 5.3223e-08, -1.2993e-09
-3.0, 0.1, 5.428e-08, -1.3359e-09
-3.2, 0.1, 5.4934e-08, -1.3722e-09
-3.4, 0.1, 5.5638e-08, -1.4184e-09
-3.6, 0.1, 5.6386e-08, -1.4596e-09
-3.8, 0.1, 5.711e-08, -1.5031e-09
-4.0, 0.1, 5.7769e-08, -1.5476e-09
-4.2, 0.1, 5.8565e-08, -1.5877e-09
-4.4, 0.1, 5.9066e-08, -1.6424e-09
-4.6, 0.1, 5.9922e-08, -1.728e-09
-4.8, 0.1, 6.0602e-08, -1.752e-09
-5.0, 0.1, 6.1296e-08, -1.7814e-09
-5.2, 0.1, 6.194e-08, -1.8195e-09
-5.4, 0.1, 6.2767e-08, -1.8549e-09
-5.6, 0.1, 6.3118e-08, -1.9001e-09
-5.8, 0.1, 6.3758e-08, -1.9409e-09
-6.0, 0.1, 6.4315e-08, -2.0002e-09
-6.2, 0.1, 6.5119e-08, -2.0868e-09
-6.4, 0.1, 6.5569e-08, -2.0967e-09
-6.6, 0.1, 6.5961e-08, -2.1284e-09
-6.8, 0.1, 6.638e-08, -2.1623e-09
-7.0, 0.1, 6.687e-08, -2.2051e-09
-7.2, 0.1, 6.7351e-08, -2.2556e-09
-7.4, 0.1, 6.813e-08, -2.3046e-09
-7.6, 0.1, 6.8468e-08, -2.3812e-09
-7.8, 0.1, 6.9143e-08, -2.4611e-09
-8.0, 0.1, 6.9383e-08, -2.4863e-09
-8.2, 0.1, 6.9765e-08, -2.5278e-09
-8.4, 0.1, 7.0064e-08, -2.5744e-09
-8.6, 0.1, 7.0527e-08, -2.6182e-09
-8.8, 0.1, 7.0817e-08, -2.6652e-09
-9.0, 0.1, 7.1174e-08, -2.7368e-09
-9.2, 0.1, 7.1775e-08, -2.8178e-09
-9.4, 0.1, 7.2272e-08, -2.8395e-09
-9.6, 0.1, 7.2463e-08, -2.8835e-09
-9.8, 0.1, 7.2716e-08, -2.925e-09
-10.0, 0.1, 7.3157e-08, -2.9753e-09
