Vg	Ids
-15	36.8
-14	35.1
-13	33.2
-12	31.1
-11	29
-10	27.1
-9	24.4
-8	22.1
-7	19.5
-6	17.6
-5	15.4
-4	13.6
-3	12.2
-2	11.1
-1	10
0	8.8
0	10
1	8.3
2	7
3	6
4	5.5
5	5.1
6	4.5
7	3.9
8	3.9
9	3.5
10	2.9
11	2.7
12	2.4
13	2.1
14	2
15	1.7
14	3
13	4.2
12	5.6
11	7.4
10	9.2
9	11.3
8	13.4
7	15.5
6	17.2
5	19.1
4	20.8
3	22.4
2	23.8
1	25.1
0	26.3
0	25.2
-1	27.1
-2	28.6
-3	30
-4	31
-5	32.1
-6	32.9
-7	33.8
-8	34
-9	35.2
-10	35.8
-11	36.7
-12	37.2
-13	38
-14	38.7
-15	39.1
