Vg	Ids	
0	0.000000004	
1	3.39E-09	
2	2.7E-09	
3	1.89E-09	
4	1.37E-09	
5	8.2E-10	
6	5.1E-10	
7	3.2E-10	
8	2.2E-10	
9	1.2E-10	
10	6E-11	
11	5E-11	
12	5E-11	
13	4E-11	
14	4E-11	
15	4E-11	
14	3E-11	
13	5E-11	
12	7E-11	
11	1.4E-10	
10	4.3E-10	
9	9.6E-10	
8	1.14E-09	
7	1.6E-09	
6	2.08E-09	
5	2.61E-09	
4	2.96E-09	
3	3.4E-09	
2	3.76E-09	
1	4.02E-09	
0	4.35E-09	
0	4.1E-09	
-1	4.55E-09	
-2	4.75E-09	
-3	5.05E-09	
-4	5.28E-09	
-5	5.45E-09	
-6	5.58E-09	
-7	5.74E-09	
-8	5.91E-09	
-9	6.04E-09	
-10	6.15E-09	
-11	6.21E-09	
-12	6.32E-09	
-13	6.44E-09	
-14	6.45E-09	
-15	6.48E-09	
-14	6.17E-09	
-13	5.88E-09	
-12	5.52E-09	
-11	5.14E-09	
-10	4.67E-09	
-9	4.07E-09	
-8	3.35E-09	
-7	2.76E-09	
-6	2.23E-09	
-5	1.71E-09	
-4	1.42E-09	
-3	1.01E-09	
-2	7.9E-10	
-1	5.8E-10	
0	4.6E-10	
